V,I,V_in,I_in,I_sps,V_sps
-2.0,0,-1.999986,-5.122357e-09,0.0,4907739.0
-2.0,0,-1.999985,-5.109105e-09,0.0,4905636.0
-2.0,0,-1.999984,-5.102294e-09,0.0,4906518.0
-2.0,0,-1.999987,-5.111862e-09,0.0,4903574.0
-2.0,0,-1.999984,-5.116e-09,0.0,4906332.0
-2.0,0,-1.999984,-5.122427e-09,0.0,4905828.0
-2.0,0,-1.999987,-5.125341e-09,0.0,4909755.0
-2.0,0,-1.999982,-5.120595e-09,0.0,4908570.0
-2.0,0,-1.999985,-5.03368e-09,0.0,4909135.0
-2.0,0,-1.999984,-5.105121e-09,0.0,4910695.0
-1.9,0,-1.899968,-5.09624e-09,0.0,4665701.0
-1.9,0,-1.89997,-5.122965e-09,0.0,4664731.0
-1.9,0,-1.89997,-5.101295e-09,0.0,4665503.0
-1.9,0,-1.899967,-5.112937e-09,0.0,4667070.0
-1.9,0,-1.899971,-5.110866e-09,0.0,4661613.0
-1.9,0,-1.899968,-5.123274e-09,0.0,4663516.0
-1.9,0,-1.899969,-5.128788e-09,0.0,4664508.0
-1.9,0,-1.89997,-5.119902e-09,0.0,4667436.0
-1.9,0,-1.899969,-5.109413e-09,0.0,4667102.0
-1.9,0,-1.899968,-5.113617e-09,0.0,4666509.0
-1.7999999999999998,0,-1.799984,-5.13353e-09,0.0,4425254.0
-1.7999999999999998,0,-1.799984,-5.130167e-09,0.0,4427985.0
-1.7999999999999998,0,-1.799981,-5.037273e-09,0.0,4427623.0
-1.7999999999999998,0,-1.799985,-5.111863e-09,0.0,4427214.0
-1.7999999999999998,0,-1.799985,-5.11531e-09,0.0,4432420.0
-1.7999999999999998,0,-1.799984,-5.133917e-09,0.0,4429272.0
-1.7999999999999998,0,-1.799986,-5.116534e-09,0.0,4437168.0
-1.7999999999999998,0,-1.799986,-5.133072e-09,0.0,4431270.0
-1.7999999999999998,0,-1.799984,-5.135525e-09,0.0,4428521.0
-1.7999999999999998,0,-1.799982,-5.118294e-09,0.0,4433567.0
-1.6999999999999997,0,-1.699971,-5.045617e-09,0.0,4211195.0
-1.6999999999999997,0,-1.69997,-5.140656e-09,0.0,4196149.0
-1.6999999999999997,0,-1.699971,-5.088961e-09,0.0,4194455.0
-1.6999999999999997,0,-1.69997,-5.129318e-09,0.0,4196937.0
-1.6999999999999997,0,-1.69997,-5.117144e-09,0.0,4187728.0
-1.6999999999999997,0,-1.699969,-5.115995e-09,0.0,4192740.0
-1.6999999999999997,0,-1.699971,-5.12794e-09,0.0,4196162.0
-1.6999999999999997,0,-1.699971,-5.113772e-09,0.0,4194435.0
-1.6999999999999997,0,-1.699968,-5.048452e-09,0.0,4194844.0
-1.6999999999999997,0,-1.699972,-5.122351e-09,0.0,4196436.0
-1.5999999999999996,0,-1.599984,-5.104967e-09,0.0,3962513.0
-1.5999999999999996,0,-1.599984,-5.119057e-09,0.0,3961189.0
-1.5999999999999996,0,-1.599983,-5.125337e-09,0.0,3959337.0
-1.5999999999999996,0,-1.599985,-5.125335e-09,0.0,3961481.0
-1.5999999999999996,0,-1.599985,-5.033286e-09,0.0,3962616.0
-1.5999999999999996,0,-1.599985,-5.083523e-09,0.0,3963817.0
-1.5999999999999996,0,-1.599985,-5.018737e-09,0.0,3963221.0
-1.5999999999999996,0,-1.599985,-5.080381e-09,0.0,3962195.0
-1.5999999999999996,0,-1.599984,-5.091567e-09,0.0,3962812.0
-1.5999999999999996,0,-1.599984,-5.102822e-09,0.0,3962970.0
-1.4999999999999996,0,-1.499966,-5.095547e-09,0.0,3737463.0
-1.4999999999999996,0,-1.499968,-5.068286e-09,0.0,3719141.0
-1.4999999999999996,0,-1.499968,-5.074331e-09,0.0,3738684.0
-1.4999999999999996,0,-1.499968,-5.085666e-09,0.0,3742164.0
-1.4999999999999996,0,-1.499968,-5.103585e-09,0.0,3736132.0
-1.4999999999999996,0,-1.499968,-5.076934e-09,0.0,3727269.0
-1.4999999999999996,0,-1.499968,-5.072649e-09,0.0,3725116.0
-1.4999999999999996,0,-1.499969,-5.062305e-09,0.0,3740754.0
-1.4999999999999996,0,-1.499968,-5.076785e-09,0.0,3732260.0
-1.4999999999999996,0,-1.499967,-5.087884e-09,0.0,3728593.0
-1.3999999999999995,0,-1.399986,-5.08636e-09,0.0,3504363.0
-1.3999999999999995,0,-1.399985,-5.099373e-09,0.0,3503173.0
-1.3999999999999995,0,-1.399986,-5.087196e-09,0.0,3503296.0
-1.3999999999999995,0,-1.399985,-5.078995e-09,0.0,3503595.0
