V,I,V_in,I_in,I_sps,V_sps
-2.0,0,-1.999979,-4.645219e-09,0.0,5076104.0
-2.0,0,-1.999981,-4.701122e-09,0.0,5076113.0
-2.0,0,-1.999979,-4.68129e-09,0.0,5076084.0
-2.0,0,-1.999977,-4.675007e-09,0.0,5076046.0
-2.0,0,-1.99998,-4.764225e-09,0.0,5076059.0
-2.0,0,-1.999979,-4.684354e-09,0.0,5076160.0
-2.0,0,-1.999977,-4.717661e-09,0.0,5076003.0
-2.0,0,-1.999979,-4.700895e-09,0.0,5076038.0
-2.0,0,-1.999978,-4.651806e-09,0.0,5076109.0
-2.0,0,-1.999978,-4.733823e-09,0.0,5076089.0
-1.9,0,-1.899963,-4.715595e-09,0.0,4821985.0
-1.9,0,-1.899965,-4.661527e-09,0.0,4821903.0
-1.9,0,-1.899964,-4.603255e-09,0.0,4822010.0
-1.9,0,-1.899963,-4.640472e-09,0.0,4822007.0
-1.9,0,-1.899963,-4.626611e-09,0.0,4822075.0
-1.9,0,-1.899962,-4.564123e-09,0.0,4822197.0
-1.9,0,-1.899962,-4.595598e-09,0.0,4822101.0
-1.9,0,-1.899961,-4.655404e-09,0.0,4822024.0
-1.9,0,-1.899962,-4.729759e-09,0.0,4822087.0
-1.9,0,-1.899963,-4.617958e-09,0.0,4822100.0
-1.7999999999999998,0,-1.799978,-4.818135e-09,0.0,4568090.0
-1.7999999999999998,0,-1.799979,-4.593447e-09,0.0,4567977.0
-1.7999999999999998,0,-1.799977,-4.378415e-09,0.0,4568091.0
-1.7999999999999998,0,-1.799978,-4.57905e-09,0.0,4568061.0
-1.7999999999999998,0,-1.799978,-4.599883e-09,0.0,4568153.0
-1.7999999999999998,0,-1.799978,-4.589773e-09,0.0,4568117.0
-1.7999999999999998,0,-1.799977,-4.585177e-09,0.0,4567970.0
-1.7999999999999998,0,-1.799977,-4.595901e-09,0.0,4568069.0
-1.7999999999999998,0,-1.799978,-4.727387e-09,0.0,4568056.0
-1.7999999999999998,0,-1.799977,-4.608225e-09,0.0,4568081.0
-1.6999999999999997,0,-1.699964,-4.593142e-09,0.0,4314045.0
-1.6999999999999997,0,-1.699966,-4.585329e-09,0.0,4314038.0
-1.6999999999999997,0,-1.699963,-4.604243e-09,0.0,4313969.0
-1.6999999999999997,0,-1.699964,-4.599342e-09,0.0,4314088.0
-1.6999999999999997,0,-1.699964,-4.620864e-09,0.0,4314028.0
-1.6999999999999997,0,-1.699963,-4.608458e-09,0.0,4314021.0
-1.6999999999999997,0,-1.699963,-4.621245e-09,0.0,4314032.0
-1.6999999999999997,0,-1.699964,-4.611138e-09,0.0,4314022.0
-1.6999999999999997,0,-1.699965,-4.593525e-09,0.0,4313963.0
-1.6999999999999997,0,-1.699963,-4.628596e-09,0.0,4313966.0
-1.5999999999999996,0,-1.599977,-4.612592e-09,0.0,4059836.0
