V,I,V_in,I_in,I_sps,V_sps
0,-0.0009,-1.788472,-0.0008999737,0.0,-5904489.0
0,-0.0009,-1.788475,-0.0008999735,0.0,-5905211.0
0,-0.0009,-1.788478,-0.0008999731,0.0,-5904435.0
0,-0.0009,-1.788479,-0.0008999739,0.0,-5903103.0
0,-0.0009,-1.788481,-0.0008999739,0.0,-5903301.0
0,-0.0009,-1.78848,-0.0008999738,0.0,-5902035.0
0,-0.0009,-1.788481,-0.0008999737,0.0,-5904378.0
0,-0.0009,-1.78848,-0.000899974,0.0,-5903488.0
0,-0.0009,-1.788481,-0.000899974,0.0,-5903056.0
0,-0.0009,-1.788481,-0.0008999716,0.0,-5903503.0
0,-0.0007999999999999999,-1.589761,-0.0007999736,0.0,-5903097.0
0,-0.0007999999999999999,-1.589762,-0.0007999737,0.0,-5904601.0
0,-0.0007999999999999999,-1.589762,-0.0007999743,0.0,-5903585.0
0,-0.0007999999999999999,-1.589762,-0.0007999751,0.0,-5903672.0
0,-0.0007999999999999999,-1.589763,-0.0007999747,0.0,-5904239.0
0,-0.0007999999999999999,-1.589761,-0.0007999747,0.0,-5901202.0
0,-0.0007999999999999999,-1.589763,-0.0007999744,0.0,-5900704.0
0,-0.0007999999999999999,-1.589762,-0.0007999746,0.0,-5899125.0
0,-0.0007999999999999999,-1.589762,-0.0007999748,0.0,-5901345.0
0,-0.0007999999999999999,-1.589762,-0.000799974,0.0,-5907495.0
0,-0.0006999999999999999,-1.391065,-0.0006999868,0.0,-5901883.0
0,-0.0006999999999999999,-1.391066,-0.0006999869,0.0,-5902511.0
0,-0.0006999999999999999,-1.391064,-0.0006999864,0.0,-5903319.0
0,-0.0006999999999999999,-1.391063,-0.0006999872,0.0,-5903540.0
0,-0.0006999999999999999,-1.391065,-0.0006999875,0.0,-5903614.0
0,-0.0006999999999999999,-1.391067,-0.000699987,0.0,-5904432.0
0,-0.0006999999999999999,-1.391065,-0.000699987,0.0,-5902715.0
0,-0.0006999999999999999,-1.391064,-0.0006999867,0.0,-5903112.0
0,-0.0006999999999999999,-1.391067,-0.000699988,0.0,-5902732.0
0,-0.0006999999999999999,-1.391067,-0.0006999875,0.0,-5900024.0
0,-0.0005999999999999998,-1.192345,-0.000599987,0.0,-5901246.0
0,-0.0005999999999999998,-1.192344,-0.0005999868,0.0,-5907476.0
0,-0.0005999999999999998,-1.192346,-0.0005999871,0.0,-5905941.0
0,-0.0005999999999999998,-1.192344,-0.0005999876,0.0,-5902098.0
0,-0.0005999999999999998,-1.192345,-0.0005999875,0.0,-5899535.0
0,-0.0005999999999999998,-1.192344,-0.0005999875,0.0,-5903717.0
0,-0.0005999999999999998,-1.192346,-0.0005999875,0.0,-5901200.0
0,-0.0005999999999999998,-1.192344,-0.0005999875,0.0,-5904893.0
0,-0.0005999999999999998,-1.192345,-0.000599987,0.0,-5901814.0
0,-0.0005999999999999998,-1.192344,-0.0005999873,0.0,-5902914.0
0,-0.0004999999999999998,-0.9936188,-0.0004999852,0.0,-5904592.0
0,-0.0004999999999999998,-0.9936174,-0.0004999855,0.0,-5905062.0
0,-0.0004999999999999998,-0.993618,-0.0004999851,0.0,-5900506.0
0,-0.0004999999999999998,-0.9936169,-0.0004999855,0.0,-5904372.0
0,-0.0004999999999999998,-0.9936182,-0.0004999855,0.0,-5906187.0
0,-0.0004999999999999998,-0.9936178,-0.0004999853,0.0,-5904697.0
0,-0.0004999999999999998,-0.9936176,-0.0004999853,0.0,-5906727.0
0,-0.0004999999999999998,-0.9936172,-0.0004999849,0.0,-5906005.0
0,-0.0004999999999999998,-0.9936178,-0.0004999852,0.0,-5904855.0
0,-0.0004999999999999998,-0.9936159,-0.0004999854,0.0,-5902633.0
0,-0.0003999999999999998,-0.7948952,-0.0003999849,0.0,-5900647.0
0,-0.0003999999999999998,-0.7948952,-0.0003999852,0.0,-5906299.0
0,-0.0003999999999999998,-0.7948947,-0.000399985,0.0,-5902302.0
0,-0.0003999999999999998,-0.7948947,-0.0003999851,0.0,-5899331.0
0,-0.0003999999999999998,-0.7948946,-0.0003999846,0.0,-5906969.0
0,-0.0003999999999999998,-0.7948948,-0.0003999852,0.0,-5904803.0
0,-0.0003999999999999998,-0.7948931,-0.0003999853,0.0,-5907590.0
0,-0.0003999999999999998,-0.7948954,-0.0003999849,0.0,-5903900.0
0,-0.0003999999999999998,-0.794895,-0.0003999851,0.0,-5901691.0
0,-0.0003999999999999998,-0.7948943,-0.000399985,0.0,-5906624.0
0,-0.0002999999999999998,-0.5961608,-0.0002999803,0.0,-5903153.0
0,-0.0002999999999999998,-0.596159,-0.0002999807,0.0,-5901139.0
0,-0.0002999999999999998,-0.596159,-0.0002999797,0.0,-5902434.0
0,-0.0002999999999999998,-0.5961601,-0.0002999794,0.0,-5908043.0
0,-0.0002999999999999998,-0.5961588,-0.0002999799,0.0,-5902892.0
0,-0.0002999999999999998,-0.5961594,-0.0002999799,0.0,-5904274.0
0,-0.0002999999999999998,-0.5961609,-0.0002999795,0.0,-5901445.0
0,-0.0002999999999999998,-0.5961599,-0.0002999799,0.0,-5905251.0
0,-0.0002999999999999998,-0.59616,-0.0002999796,0.0,-5904718.0
0,-0.0002999999999999998,-0.5961599,-0.0002999797,0.0,-5905293.0
0,-0.00019999999999999982,-0.3974681,-0.000199997,0.0,-5905816.0
0,-0.00019999999999999982,-0.3974683,-0.0001999979,0.0,-5908423.0
0,-0.00019999999999999982,-0.397468,-0.0001999973,0.0,-5905196.0
0,-0.00019999999999999982,-0.3974684,-0.000199997,0.0,-5905179.0
0,-0.00019999999999999982,-0.3974679,-0.0001999976,0.0,-5903885.0
0,-0.00019999999999999982,-0.3974659,-0.0001999974,0.0,-5905516.0
0,-0.00019999999999999982,-0.3974678,-0.0001999974,0.0,-5905142.0
0,-0.00019999999999999982,-0.3974682,-0.0001999973,0.0,-5907744.0
0,-0.00019999999999999982,-0.3974694,-0.0001999976,0.0,-5903722.0
0,-0.00019999999999999982,-0.39747,-0.0001999975,0.0,-5905284.0
0,-9.999999999999982e-05,-0.1987338,-9.999846e-05,0.0,-5901082.0
0,-9.999999999999982e-05,-0.1987332,-9.999843e-05,0.0,-5900797.0
0,-9.999999999999982e-05,-0.1987326,-9.999836e-05,0.0,-5906561.0
0,-9.999999999999982e-05,-0.1987336,-9.999851e-05,0.0,-5907299.0
0,-9.999999999999982e-05,-0.1987338,-9.999851e-05,0.0,-5903200.0
0,-9.999999999999982e-05,-0.1987342,-9.999846e-05,0.0,-5906678.0
0,-9.999999999999982e-05,-0.1987335,-9.999845e-05,0.0,-5903467.0
0,-9.999999999999982e-05,-0.1987335,-9.999855e-05,0.0,-5902117.0
0,-9.999999999999982e-05,-0.1987337,-9.999841e-05,0.0,-5903140.0
0,-9.999999999999982e-05,-0.1987335,-9.999848e-05,0.0,-5905177.0
0,1.8973538018496328e-19,-1.813533e-05,8.516928e-13,0.0,-5906746.0
0,1.8973538018496328e-19,-1.662958e-05,1.234586e-12,0.0,-5906239.0
0,1.8973538018496328e-19,-1.758779e-05,1.464311e-12,0.0,-5905574.0
0,1.8973538018496328e-19,-1.758784e-05,1.387741e-12,0.0,-5906982.0
0,1.8973538018496328e-19,-1.786158e-05,1.694039e-12,0.0,-5903988.0
0,1.8973538018496328e-19,-1.690334e-05,1.158009e-12,0.0,-5897926.0
0,1.8973538018496328e-19,-1.772468e-05,1.234586e-12,0.0,-5902059.0
0,1.8973538018496328e-19,-1.71771e-05,1.234588e-12,0.0,-5901913.0
0,1.8973538018496328e-19,-1.786155e-05,8.516972e-13,0.0,-5904574.0
0,1.8973538018496328e-19,-1.799842e-05,1.00486e-12,0.0,-5905421.0
0,0.0001000000000000002,0.1987038,9.999896e-05,0.0,-5900428.0
0,0.0001000000000000002,0.1987035,9.999894e-05,0.0,-5906752.0
