V,I,V_in,I_in,I_sps,V_sps
0,-0.0009,-1.951568,-0.0008999704,39966.0,0.0
0,-0.0009,-1.951567,-0.0008999707,7864140.0,0.0
0,-0.0009,-1.951563,-0.0008999701,7865588.0,0.0
0,-0.0009,-1.951558,-0.0008999713,7855555.0,0.0
0,-0.0009,-1.951556,-0.0008999704,7853574.0,0.0
0,-0.0009,-1.951552,-0.0008999704,7854022.0,0.0
0,-0.0009,-1.951547,-0.0008999711,7860544.0,0.0
0,-0.0009,-1.951542,-0.0008999707,7862488.0,0.0
0,-0.0009,-1.95154,-0.0008999708,7857418.0,0.0
0,-0.0009,-1.951536,-0.0008999707,7853482.0,0.0
0,-0.0007999999999999999,-1.734713,-0.0007999711,7035269.0,0.0
0,-0.0007999999999999999,-1.734713,-0.0007999713,7036684.0,0.0
0,-0.0007999999999999999,-1.734711,-0.000799972,7036913.0,0.0
0,-0.0007999999999999999,-1.734711,-0.0007999719,7041611.0,0.0
0,-0.0007999999999999999,-1.73471,-0.0007999723,7036922.0,0.0
0,-0.0007999999999999999,-1.734709,-0.0007999717,7046718.0,0.0
0,-0.0007999999999999999,-1.73471,-0.0007999707,7034896.0,0.0
0,-0.0007999999999999999,-1.73471,-0.0007999716,7037047.0,0.0
0,-0.0007999999999999999,-1.734712,-0.0007999713,7038471.0,0.0
0,-0.0007999999999999999,-1.734711,-0.0007999715,7042260.0,0.0
0,-0.0006999999999999999,-1.517936,-0.0006999835,6196977.0,0.0
0,-0.0006999999999999999,-1.517937,-0.0006999837,6194501.0,0.0
0,-0.0006999999999999999,-1.517938,-0.0006999841,6201794.0,0.0
0,-0.0006999999999999999,-1.517936,-0.0006999844,6200223.0,0.0
0,-0.0006999999999999999,-1.517938,-0.000699984,6204461.0,0.0
0,-0.0006999999999999999,-1.517939,-0.0006999832,6204346.0,0.0
0,-0.0006999999999999999,-1.517941,-0.0006999848,6202903.0,0.0
0,-0.0006999999999999999,-1.517941,-0.0006999842,6202952.0,0.0
0,-0.0006999999999999999,-1.517942,-0.0006999844,6198341.0,0.0
0,-0.0006999999999999999,-1.517944,-0.0006999837,6202656.0,0.0
0,-0.0005999999999999998,-1.301103,-0.0005999839,5367733.0,0.0
0,-0.0005999999999999998,-1.301103,-0.0005999838,5367093.0,0.0
0,-0.0005999999999999998,-1.301105,-0.0005999834,5364839.0,0.0
0,-0.0005999999999999998,-1.301106,-0.0005999842,5359435.0,0.0
0,-0.0005999999999999998,-1.301108,-0.0005999837,5373915.0,0.0
0,-0.0005999999999999998,-1.301107,-0.0005999838,5365624.0,0.0
0,-0.0005999999999999998,-1.301107,-0.0005999836,5366897.0,0.0
0,-0.0005999999999999998,-1.301109,-0.0005999836,5366965.0,0.0
0,-0.0005999999999999998,-1.301111,-0.0005999833,5370900.0,0.0
0,-0.0005999999999999998,-1.301109,-0.0005999842,5370291.0,0.0
0,-0.0004999999999999998,-1.084255,-0.0004999825,4534546.0,0.0
0,-0.0004999999999999998,-1.084255,-0.0004999819,4534062.0,0.0
0,-0.0004999999999999998,-1.084257,-0.0004999817,4525215.0,0.0
0,-0.0004999999999999998,-1.084259,-0.0004999815,4527176.0,0.0
0,-0.0004999999999999998,-1.084263,-0.0004999816,4538236.0,0.0
0,-0.0004999999999999998,-1.084259,-0.0004999816,4524150.0,0.0
0,-0.0004999999999999998,-1.084262,-0.0004999813,4537445.0,0.0
0,-0.0004999999999999998,-1.084265,-0.0004999815,4525072.0,0.0
0,-0.0004999999999999998,-1.084268,-0.0004999815,4524743.0,0.0
0,-0.0004999999999999998,-1.084269,-0.0004999817,4527702.0,0.0
0,-0.0003999999999999998,-0.8674152,-0.0003999816,3688550.0,0.0
0,-0.0003999999999999998,-0.8674165,-0.0003999813,3687406.0,0.0
0,-0.0003999999999999998,-0.8674164,-0.0003999815,3684087.0,0.0
0,-0.0003999999999999998,-0.8674158,-0.0003999822,3696505.0,0.0
