V,I,V_in,I_in,I_sps,V_sps
0,-0.009,-19.44107,-0.008999792,-8314600.0,0.0
0,-0.009,-19.43735,-0.008999787,8319833.0,0.0
0,-0.009,-19.43391,-0.008999791,8319761.0,0.0
0,-0.009,-19.43067,-0.008999785,8319879.0,0.0
0,-0.009,-19.42764,-0.00899979,8319804.0,0.0
0,-0.009,-19.42481,-0.008999784,8319936.0,0.0
0,-0.009,-19.4222,-0.008999791,8319936.0,0.0
0,-0.009,-19.41977,-0.008999793,8319863.0,0.0
0,-0.009,-19.41752,-0.00899979,8319945.0,0.0
0,-0.009,-19.41537,-0.008999787,8319922.0,0.0
0,-0.0089,-19.18523,-0.008899712,8319846.0,0.0
0,-0.0089,-19.18416,-0.008899712,8319925.0,0.0
0,-0.0089,-19.18317,-0.008899704,8319943.0,0.0
0,-0.0089,-19.18223,-0.008899718,8319948.0,0.0
0,-0.0089,-19.18133,-0.008899719,8320141.0,0.0
0,-0.0089,-19.18048,-0.008899716,8320135.0,0.0
0,-0.0089,-19.17964,-0.008899714,8320249.0,0.0
0,-0.0089,-19.17887,-0.008899706,8320015.0,0.0
0,-0.0089,-19.17811,-0.008899708,8320150.0,0.0
0,-0.0089,-19.17737,-0.008899718,8319969.0,0.0
0,-0.0088,-18.95828,-0.008799811,8320269.0,0.0
0,-0.0088,-18.95793,-0.008799807,8320195.0,0.0
0,-0.0088,-18.95762,-0.008799807,8320141.0,0.0
0,-0.0088,-18.95725,-0.008799804,8320112.0,0.0
0,-0.0088,-18.95691,-0.008799807,8320227.0,0.0
0,-0.0088,-18.95662,-0.008799803,8320230.0,0.0
0,-0.0088,-18.95642,-0.008799807,8319994.0,0.0
0,-0.0088,-18.95624,-0.008799803,8320326.0,0.0
0,-0.0088,-18.95608,-0.008799807,8320277.0,0.0
0,-0.0088,-18.95589,-0.008799807,8320272.0,0.0
0,-0.008700000000000001,-18.73935,-0.008699841,8320064.0,0.0
0,-0.008700000000000001,-18.73916,-0.008699847,8320091.0,0.0
0,-0.008700000000000001,-18.73899,-0.00869985,8320069.0,0.0
0,-0.008700000000000001,-18.73883,-0.00869985,8320222.0,0.0
0,-0.008700000000000001,-18.73868,-0.008699846,8320139.0,0.0
0,-0.008700000000000001,-18.7385,-0.008699846,8320154.0,0.0
0,-0.008700000000000001,-18.73834,-0.00869985,8320049.0,0.0
0,-0.008700000000000001,-18.73816,-0.008699852,8320093.0,0.0
0,-0.008700000000000001,-18.73807,-0.008699845,8319964.0,0.0
0,-0.008700000000000001,-18.73798,-0.00869984,8320118.0,0.0
0,-0.008600000000000002,-18.52384,-0.00859975,8319956.0,0.0
0,-0.008600000000000002,-18.52389,-0.008599745,8320106.0,0.0
0,-0.008600000000000002,-18.52388,-0.008599737,8320128.0,0.0
0,-0.008600000000000002,-18.52389,-0.008599749,8320053.0,0.0
0,-0.008600000000000002,-18.52385,-0.008599739,8320205.0,0.0
0,-0.008600000000000002,-18.52378,-0.008599752,8320112.0,0.0
0,-0.008600000000000002,-18.52372,-0.00859974,8320020.0,0.0
