V,V_in,I_in,I_sps,V_sps
0.1,0.1000034,-6.849461e-09,10.0,5708516.0
0.1,0.100004,-6.87128e-09,10.0,5446448.0
0.1,0.100003,-6.869445e-09,10.0,5446573.0
0.1,0.1000034,-6.840724e-09,10.0,5444958.0
0.1,0.1000034,-6.888588e-09,10.0,5441003.0
0.1,0.1000036,-6.893717e-09,10.0,5442943.0
0.1,0.09999131,-6.887288e-09,10.0,5447373.0
0.1,0.1000034,-6.881316e-09,10.0,5447265.0
0.1,0.1000037,-6.878559e-09,10.0,5443980.0
0.1,0.1000032,-6.894863e-09,10.0,5443822.0
0.2,0.2000067,-6.884299e-09,10.0,5446262.0
0.2,0.2000073,-6.860637e-09,10.0,5190657.0
0.2,0.2000075,-6.864232e-09,10.0,5185521.0
0.2,0.200007,-7.015248e-09,10.0,5191319.0
0.2,0.2000068,-6.994034e-09,10.0,5188000.0
0.2,0.200007,-6.927644e-09,10.0,5187610.0
0.2,0.200007,-6.914471e-09,10.0,5184743.0
0.2,0.2000073,-6.881615e-09,10.0,5184577.0
0.2,0.2000068,-6.894028e-09,10.0,5186963.0
0.2,0.2000071,-6.872352e-09,10.0,5188361.0
0.30000000000000004,0.300001,-6.910642e-09,10.0,5187392.0
0.30000000000000004,0.300001,-6.956282e-09,10.0,4928262.0
0.30000000000000004,0.3000014,-6.930172e-09,10.0,4928765.0
0.30000000000000004,0.3000008,-6.91294e-09,10.0,4923689.0
0.30000000000000004,0.300002,-6.912017e-09,10.0,4921036.0
0.30000000000000004,0.300001,-6.905282e-09,10.0,4929927.0
0.30000000000000004,0.300001,-6.851143e-09,10.0,4927127.0
0.30000000000000004,0.3000002,-6.861096e-09,10.0,4926091.0
0.30000000000000004,0.3000017,-6.866685e-09,10.0,4924525.0
0.30000000000000004,0.300001,-6.893103e-09,10.0,4926232.0
0.4,0.3999919,-6.894863e-09,10.0,4927068.0
0.4,0.3999911,-6.898317e-09,10.0,3645700.0
0.4,0.3999926,-6.881926e-09,10.0,3693613.0
0.4,0.3999914,-6.891644e-09,10.0,4428568.0
0.4,0.3999922,-6.897163e-09,10.0,4174076.0
0.4,0.3999922,-6.94518e-09,10.0,4393430.0
0.4,0.3999923,-6.883147e-09,10.0,4456861.0
0.4,0.3999918,-6.952525e-09,10.0,4463016.0
0.4,0.3999919,-6.853516e-09,10.0,4576669.0
0.4,0.3999914,-6.833295e-09,10.0,4424907.0
0.5,0.5000117,-6.86944e-09,10.0,4488346.0
0.5,0.500011,-6.927564e-09,10.0,4467610.0
0.5,0.5000104,-6.878556e-09,10.0,4472441.0
0.5,0.5000115,-6.862551e-09,10.0,4473937.0
0.5,0.5000117,-6.88537e-09,10.0,4476034.0
0.5,0.5000111,-6.875872e-09,10.0,4472312.0
0.5,0.5000122,-6.889959e-09,10.0,4477117.0
0.5,0.5000117,-6.879161e-09,10.0,4475745.0
0.5,0.5000119,-6.898078e-09,10.0,4476320.0
0.5,0.5000116,-6.877252e-09,10.0,4474733.0
0.6,0.5999981,-6.840494e-09,10.0,4471564.0
0.6,0.5999981,-6.832904e-09,10.0,4221260.0
0.6,0.5999991,-6.987294e-09,10.0,4230237.0
0.6,0.5999982,-6.916917e-09,10.0,4225117.0
0.6,0.5999982,-6.906656e-09,10.0,4220261.0
0.6,0.5999997,-6.946017e-09,10.0,4232878.0
0.6,0.5999989,-6.8663e-09,10.0,4228599.0
0.6,0.5999981,-6.867602e-09,10.0,4234567.0
0.6,0.5999985,-6.901757e-09,10.0,4242014.0
0.6,0.5999985,-6.863617e-09,10.0,4214869.0
0.7,0.6999755,-6.864997e-09,10.0,4204684.0
0.7,0.6999754,-6.852205e-09,10.0,3982415.0
0.7,0.6999743,-6.913239e-09,10.0,3994590.0
0.7,0.6999748,-6.880472e-09,10.0,3986460.0
0.7,0.6999758,-6.878316e-09,10.0,3996414.0
0.7,0.6999751,-6.88705e-09,10.0,3993051.0
0.7,0.699975,-6.868061e-09,10.0,4005552.0
0.7,0.6999767,-6.858641e-09,10.0,3995130.0
0.7,0.6999755,-6.86967e-09,10.0,3987623.0
0.7,0.6999757,-6.872885e-09,10.0,3991527.0
0.7999999999999999,0.7999909,-6.847311e-09,10.0,4000077.0
0.7999999999999999,0.7999929,-6.818356e-09,10.0,3763524.0
0.7999999999999999,0.7999911,-6.868597e-09,10.0,3757039.0
0.7999999999999999,0.7999934,-6.857571e-09,10.0,3815816.0
0.7999999999999999,0.7999932,-6.844015e-09,10.0,3792198.0
0.7999999999999999,0.7999936,-6.805572e-09,10.0,3755431.0
0.7999999999999999,0.7999926,-6.845235e-09,10.0,3762779.0
0.7999999999999999,0.7999929,-6.837654e-09,10.0,3775259.0
0.7999999999999999,0.7999923,-6.833982e-09,10.0,3760056.0
0.7999999999999999,0.7999931,-6.821876e-09,10.0,3760322.0
0.8999999999999999,0.8999816,-6.832369e-09,10.0,3844929.0
0.8999999999999999,0.8999813,-6.822955e-09,10.0,3507222.0
0.8999999999999999,0.8999814,-6.863313e-09,10.0,3494985.0
0.8999999999999999,0.8999812,-6.861702e-09,10.0,3501721.0
0.8999999999999999,0.8999811,-6.833372e-09,10.0,3513761.0
0.8999999999999999,0.899981,-6.827168e-09,10.0,3505530.0
0.8999999999999999,0.8999816,-6.835974e-09,10.0,3499784.0
0.8999999999999999,0.8999823,-6.84034e-09,10.0,3497812.0
0.8999999999999999,0.8999816,-6.854503e-09,10.0,3484940.0
0.8999999999999999,0.899981,-6.815137e-09,10.0,3494599.0
0.9999999999999999,0.9999718,-6.825784e-09,10.0,3501622.0
0.9999999999999999,0.9999722,-6.827853e-09,10.0,3282577.0
0.9999999999999999,0.9999714,-6.874719e-09,10.0,3277969.0
0.9999999999999999,0.9999712,-6.870124e-09,10.0,3280806.0
0.9999999999999999,0.9999711,-6.848528e-09,10.0,3281305.0
0.9999999999999999,0.9999716,-6.846228e-09,10.0,3281961.0
