V,V_in,I_in,I_sps,V_sps
0.0,3.767003e-06,-7.279368e-09,10.0,16717957.0
0.0,3.493238e-06,-6.842954e-09,10.0,16723720.0
0.0,3.493231e-06,-6.793864e-09,10.0,16724828.0
0.0,3.356319e-06,-6.7944e-09,10.0,16720847.0
0.0,3.219422e-06,-6.77365e-09,10.0,16724365.0
0.0,3.356268e-06,-6.804279e-09,10.0,16723349.0
0.0,4.177666e-06,-6.772423e-09,10.0,16723014.0
0.0,3.082489e-06,-6.771504e-09,10.0,16723111.0
0.0,3.219488e-06,-6.787817e-09,10.0,16723926.0
0.0,3.767025e-06,-6.809639e-09,10.0,16724193.0
0.1,0.1000034,-6.815154e-09,10.0,16723255.0
0.1,0.1000052,-6.813387e-09,10.0,16470075.0
0.1,0.1000033,-6.769202e-09,10.0,16472481.0
0.1,0.1000035,-6.73689e-09,10.0,16458606.0
0.1,0.1000034,-6.792253e-09,10.0,16481195.0
0.1,0.1000038,-6.812237e-09,10.0,16472695.0
0.1,0.1000037,-6.800376e-09,10.0,16476648.0
0.1,0.1000032,-6.797002e-09,10.0,16472523.0
0.1,0.1000037,-6.800828e-09,10.0,16474645.0
0.1,0.1000039,-6.819671e-09,10.0,16480461.0
0.2,0.2000073,-6.882998e-09,10.0,16486860.0
0.2,0.2000088,-6.776018e-09,10.0,16220607.0
0.2,0.2000076,-6.794703e-09,10.0,16216441.0
0.2,0.2000072,-6.786049e-09,10.0,16215574.0
0.2,0.2000069,-6.838657e-09,10.0,16220755.0
0.2,0.2000075,-6.663301e-09,10.0,16227671.0
0.2,0.2000079,-6.772341e-09,10.0,16224417.0
0.2,0.2000072,-6.786049e-09,10.0,16221226.0
0.2,0.2000076,-6.840346e-09,10.0,16219314.0
0.2,0.2000068,-6.882383e-09,10.0,16222066.0
0.30000000000000004,0.3000005,-7.028956e-09,10.0,16225153.0
0.30000000000000004,0.299999,-6.806729e-09,10.0,15976040.0
0.30000000000000004,0.3000011,-6.761005e-09,10.0,15968569.0
0.30000000000000004,0.3000011,-6.782146e-09,10.0,15977573.0
0.30000000000000004,0.3000014,-6.820656e-09,10.0,15974971.0
0.30000000000000004,0.3000018,-6.832297e-09,10.0,15966503.0
0.30000000000000004,0.3000005,-6.797311e-09,10.0,15972660.0
0.30000000000000004,0.3000013,-6.744626e-09,10.0,15966963.0
0.30000000000000004,0.3000008,-6.804353e-09,10.0,15969361.0
0.30000000000000004,0.3000015,-6.779008e-09,10.0,15972550.0
0.4,0.3999921,-6.811778e-09,10.0,15969209.0
0.4,0.3999899,-6.770505e-09,10.0,15724155.0
0.4,0.3999929,-6.79868e-09,10.0,15719014.0
0.4,0.3999926,-6.796007e-09,10.0,15719589.0
0.4,0.3999921,-6.79738e-09,10.0,15721271.0
0.4,0.3999925,-6.748069e-09,10.0,15720087.0
0.4,0.3999922,-6.718201e-09,10.0,15717404.0
0.4,0.399991,-6.75772e-09,10.0,15711436.0
0.4,0.3999913,-6.817597e-09,10.0,15721041.0
0.4,0.3999915,-6.933765e-09,10.0,15717202.0
0.5,0.5000107,-6.813156e-09,10.0,15714611.0
0.5,0.5000089,-6.732136e-09,10.0,15455014.0
0.5,0.5000089,-6.72624e-09,10.0,15453337.0
0.5,0.500011,-6.72938e-09,10.0,15454672.0
0.5,0.5000111,-6.756795e-09,10.0,15456544.0
0.5,0.500011,-6.713832e-09,10.0,15456018.0
0.5,0.5000111,-6.729608e-09,10.0,15454939.0
0.5,0.5000111,-6.776711e-09,10.0,15457775.0
0.5,0.5000103,-6.785744e-09,10.0,15453360.0
0.5,0.5000108,-6.805883e-09,10.0,15455574.0
0.6,0.5999974,-6.79378e-09,10.0,15455400.0
0.6,0.5999988,-6.762387e-09,10.0,15209629.0
0.6,0.5999981,-6.728081e-09,10.0,15203329.0
0.6,0.5999983,-6.759781e-09,10.0,15210770.0
0.6,0.5999982,-6.765605e-09,10.0,15210607.0
0.6,0.5999976,-6.756872e-09,10.0,15223797.0
0.6,0.599999,-6.745685e-09,10.0,15210528.0
0.6,0.5999987,-6.738636e-09,10.0,15212255.0
0.6,0.5999982,-6.724633e-09,10.0,15213112.0
0.6,0.5999984,-6.747685e-09,10.0,15205927.0
0.7,0.6999751,-6.766365e-09,10.0,15201448.0
0.7,0.6999759,-6.737116e-09,10.0,14977975.0
0.7,0.6999745,-6.764681e-09,10.0,14979254.0
0.7,0.6999753,-6.763918e-09,10.0,14979048.0
0.7,0.699975,-6.808022e-09,10.0,14978597.0
0.7,0.6999747,-6.803499e-09,10.0,14978337.0
0.7,0.6999761,-6.779608e-09,10.0,14978264.0
0.7,0.699975,-6.753347e-09,10.0,14978215.0
0.7,0.699975,-6.771574e-09,10.0,14976626.0
0.7,0.6999756,-6.789953e-09,10.0,14976704.0
0.7999999999999999,0.7999917,-6.754346e-09,10.0,14979570.0
0.7999999999999999,0.7999923,-6.732825e-09,10.0,14754185.0
0.7999999999999999,0.7999928,-6.713297e-09,10.0,14756052.0
0.7999999999999999,0.7999921,-6.808561e-09,10.0,14750354.0
0.7999999999999999,0.7999913,-6.783516e-09,10.0,14759719.0
0.7999999999999999,0.7999919,-6.799294e-09,10.0,14747414.0
0.7999999999999999,0.7999944,-6.758019e-09,10.0,14756492.0
0.7999999999999999,0.7999931,-6.830155e-09,10.0,14757391.0
0.7999999999999999,0.7999927,-6.74676e-09,10.0,14743143.0
0.7999999999999999,0.7999923,-6.756872e-09,10.0,14749172.0
0.8999999999999999,0.8999816,-6.706783e-09,10.0,14747835.0
0.8999999999999999,0.8999814,-6.737185e-09,10.0,14519341.0
0.8999999999999999,0.8999818,-6.729916e-09,10.0,14525469.0
0.8999999999999999,0.8999828,-6.721947e-09,10.0,14520458.0
0.8999999999999999,0.8999816,-6.72891e-09,10.0,14527014.0
0.8999999999999999,0.8999799,-6.754263e-09,10.0,14519219.0
0.8999999999999999,0.8999816,-6.717729e-09,10.0,14523562.0
0.8999999999999999,0.899982,-6.679908e-09,10.0,14519722.0
0.8999999999999999,0.8999807,-6.654179e-09,10.0,14519167.0
0.8999999999999999,0.8999819,-6.751893e-09,10.0,14518457.0
0.9999999999999999,0.9999712,-6.779762e-09,10.0,14520655.0
0.9999999999999999,0.9999724,-6.798672e-09,10.0,14301753.0
0.9999999999999999,0.9999712,-6.760462e-09,10.0,14308315.0
0.9999999999999999,0.9999718,-6.741172e-09,10.0,14286451.0
0.9999999999999999,0.9999717,-6.837495e-09,10.0,14279574.0
0.9999999999999999,0.9999713,-6.774862e-09,10.0,14299562.0
0.9999999999999999,0.9999722,-6.780376e-09,10.0,14281361.0
0.9999999999999999,0.9999711,-6.736876e-09,10.0,14295313.0
0.9999999999999999,0.9999718,-6.788951e-09,10.0,14298224.0
0.9999999999999999,0.9999707,-6.777386e-09,10.0,14291708.0
1.0999999999999999,1.099981,-6.772947e-09,10.0,14294577.0
1.0999999999999999,1.099983,-6.714284e-09,10.0,14065644.0
1.0999999999999999,1.099982,-6.702118e-09,10.0,14072970.0
1.0999999999999999,1.099981,-6.753187e-09,10.0,14079967.0
1.0999999999999999,1.099981,-6.783207e-09,10.0,14075680.0
1.0999999999999999,1.099982,-6.771723e-09,10.0,14069915.0
1.0999999999999999,1.099981,-6.724854e-09,10.0,14070497.0
1.0999999999999999,1.099982,-6.821191e-09,10.0,14066607.0
1.0999999999999999,1.099983,-6.775783e-09,10.0,14072771.0
1.0999999999999999,1.099981,-6.776165e-09,10.0,14073475.0
