V,V_in,I_in,I_sps,V_sps
0.0,6.647439e-06,-6.445731e-09,10.0,16724557.0
0.0,6.921306e-06,-6.574008e-09,10.0,16724158.0
0.0,6.373666e-06,-6.385307e-09,10.0,16722699.0
0.0,7.195064e-06,-6.249441e-09,10.0,16723807.0
0.0,6.510658e-06,-6.42191e-09,10.0,16723700.0
0.0,7.605733e-06,-6.430414e-09,10.0,16723483.0
0.0,6.5106e-06,-6.466637e-09,10.0,16723514.0
0.0,6.78443e-06,-6.443125e-09,10.0,16722577.0
0.0,7.195056e-06,-6.411342e-09,10.0,16723714.0
0.0,6.510563e-06,-6.446111e-09,10.0,16724258.0
0.1,0.1000051,-6.369376e-09,10.0,16724651.0
0.1,0.1000053,-6.440441e-09,10.0,16473911.0
0.1,0.1000053,-6.894349e-09,10.0,16475963.0
0.1,0.1000057,-6.420373e-09,10.0,16472950.0
0.1,0.1000054,-6.36692e-09,10.0,16476054.0
0.1,0.1000056,-6.249137e-09,10.0,16475140.0
0.1,0.100006,-6.489987e-09,10.0,16475432.0
0.1,0.1000056,-6.403682e-09,10.0,16477495.0
0.1,0.1000061,-6.288347e-09,10.0,16476134.0
0.1,0.1000053,-6.535783e-09,10.0,16471958.0
0.2,0.2000085,-6.398471e-09,10.0,16475576.0
0.2,0.2000084,-6.448557e-09,10.0,16222864.0
0.2,0.2000087,-6.415626e-09,10.0,16224908.0
0.2,0.200009,-6.424044e-09,10.0,16222512.0
0.2,0.2000077,-6.421905e-09,10.0,16226551.0
0.2,0.200009,-6.448245e-09,10.0,16223146.0
0.2,0.2000083,-6.42129e-09,10.0,16225535.0
0.2,0.2000088,-6.41685e-09,10.0,16222288.0
0.2,0.2000087,-6.416234e-09,10.0,16224295.0
0.2,0.2000088,-6.458049e-09,10.0,16224282.0
0.30000000000000004,0.3000026,-6.411022e-09,10.0,16224395.0
0.30000000000000004,0.3000018,-6.413861e-09,10.0,15974676.0
0.30000000000000004,0.3000021,-6.423892e-09,10.0,15976037.0
0.30000000000000004,0.3000022,-6.440819e-09,10.0,15970138.0
0.30000000000000004,0.3000025,-6.434e-09,10.0,15974401.0
0.30000000000000004,0.3000027,-6.428713e-09,10.0,15962252.0
0.30000000000000004,0.3000022,-6.45138e-09,10.0,15974686.0
0.30000000000000004,0.3000026,-6.449695e-09,10.0,15974932.0
0.30000000000000004,0.3000022,-6.417379e-09,10.0,15974610.0
0.30000000000000004,0.3000025,-6.418374e-09,10.0,15968410.0
0.4,0.3999929,-6.434992e-09,10.0,15968638.0
0.4,0.3999784,-6.412861e-09,10.0,15721454.0
0.4,0.3999928,-6.452684e-09,10.0,15719139.0
0.4,0.3999925,-6.416304e-09,10.0,15720627.0
0.4,0.3999921,-6.424266e-09,10.0,15720158.0
0.4,0.3999929,-6.432152e-09,10.0,15720299.0
0.4,0.3999935,-6.447856e-09,10.0,15720448.0
0.4,0.3999928,-6.440199e-09,10.0,15720147.0
0.4,0.3999921,-6.41814e-09,10.0,15719276.0
0.4,0.3999924,-6.401756e-09,10.0,15719109.0
0.5,0.500013,-6.459798e-09,10.0,15719969.0
0.5,0.5000107,-5.792614e-09,10.0,15457011.0
0.5,0.5000126,-6.700502e-09,10.0,15455364.0
0.5,0.5000126,-6.365831e-09,10.0,15455543.0
0.5,0.5000135,-6.370352e-09,10.0,15456834.0
0.5,0.5000123,-6.420515e-09,10.0,15459373.0
0.5,0.5000135,-6.425096e-09,10.0,15458238.0
0.5,0.5000128,-6.415992e-09,10.0,15458033.0
0.5,0.5000128,-6.603848e-09,10.0,15456314.0
0.5,0.500013,-6.440655e-09,10.0,15454398.0
0.6,0.5999982,-6.453291e-09,10.0,15457599.0
0.6,0.599997,-6.463934e-09,10.0,15207774.0
0.6,0.5999983,-6.319885e-09,10.0,15218587.0
0.6,0.5999985,-6.361772e-09,10.0,15213123.0
0.6,0.5999978,-6.351581e-09,10.0,15215463.0
0.6,0.5999976,-6.388114e-09,10.0,15206510.0
0.6,0.5999981,-6.415534e-09,10.0,15212534.0
0.6,0.599999,-6.407255e-09,10.0,15207488.0
0.6,0.599999,-6.403509e-09,10.0,15213302.0
0.6,0.5999993,-6.399524e-09,10.0,15214814.0
0.7,0.6999754,-6.525271e-09,10.0,15212688.0
0.7,0.6999744,-6.378157e-09,10.0,14971615.0
0.7,0.6999762,-6.259609e-09,10.0,14979252.0
0.7,0.6999754,-6.384361e-09,10.0,14979090.0
0.7,0.6999749,-6.375244e-09,10.0,14977385.0
0.7,0.6999744,-6.384589e-09,10.0,14976353.0
0.7,0.6999748,-6.384284e-09,10.0,14979750.0
0.7,0.6999752,-6.38712e-09,10.0,14978331.0
0.7,0.6999747,-6.380072e-09,10.0,14976590.0
0.7,0.699975,-6.378388e-09,10.0,14978542.0
0.7999999999999999,0.7999925,-6.38014e-09,10.0,14980917.0
0.7999999999999999,0.7999905,-6.38933e-09,10.0,14751283.0
0.7999999999999999,0.7999908,-6.400743e-09,10.0,14751675.0
0.7999999999999999,0.7999915,-6.393163e-09,10.0,14751231.0
0.7999999999999999,0.7999924,-6.411392e-09,10.0,14752141.0
0.7999999999999999,0.7999905,-6.387953e-09,10.0,14750990.0
0.7999999999999999,0.7999918,-6.428391e-09,10.0,14750536.0
0.7999999999999999,0.7999913,-6.425482e-09,10.0,14752465.0
0.7999999999999999,0.7999921,-6.410161e-09,10.0,14750968.0
0.7999999999999999,0.7999929,-6.401965e-09,10.0,14751242.0
0.8999999999999999,0.8999804,-6.376235e-09,10.0,14750840.0
0.8999999999999999,0.8999799,-6.380298e-09,10.0,14523891.0
0.8999999999999999,0.8999813,-6.386805e-09,10.0,14522979.0
0.8999999999999999,0.8999805,-6.401121e-09,10.0,14522992.0
0.8999999999999999,0.8999801,-6.384047e-09,10.0,14521402.0
0.8999999999999999,0.8999795,-6.360614e-09,10.0,14524410.0
0.8999999999999999,0.8999782,-6.375079e-09,10.0,14522121.0
0.8999999999999999,0.8999806,-6.389408e-09,10.0,14524062.0
0.8999999999999999,0.8999805,-6.391012e-09,10.0,14524647.0
0.8999999999999999,0.899982,-6.381439e-09,10.0,14525022.0
0.9999999999999999,0.99997,-6.398898e-09,10.0,14522957.0
0.9999999999999999,0.9999703,-6.396526e-09,10.0,14297842.0
0.9999999999999999,0.9999667,-6.436042e-09,10.0,14294100.0
