V,V_in,I_in,I_sps,V_sps
0.0,1.103243e-05,-6.378406e-09,10.0,16729451.0
0.0,1.144319e-05,-6.32671e-09,10.0,16729844.0
0.0,1.171704e-05,-5.989347e-09,10.0,16731944.0
0.0,1.199079e-05,-6.105449e-09,10.0,16727872.0
0.0,1.06217e-05,-6.302588e-09,10.0,16728922.0
0.0,1.130623e-05,-6.154849e-09,10.0,16730522.0
0.0,1.21276e-05,-5.513976e-09,10.0,16725694.0
0.0,1.158007e-05,-6.380701e-09,10.0,16729369.0
0.0,1.14431e-05,-6.186711e-09,10.0,16729149.0
0.0,1.007407e-05,-6.255709e-09,10.0,16729325.0
0.1,0.1000081,-6.205009e-09,10.0,16728030.0
0.1,0.1000089,-6.204088e-09,10.0,16481765.0
0.1,0.1000091,-6.198345e-09,10.0,16479215.0
0.1,0.100008,-5.308106e-09,10.0,16481098.0
0.1,0.1000084,-6.298901e-09,10.0,16479551.0
0.1,0.1000075,-6.27738e-09,10.0,16481588.0
0.1,0.1000064,-6.650508e-09,10.0,16479815.0
0.1,0.1000083,-6.347533e-09,10.0,16479177.0
0.1,0.1000091,-6.51104e-09,10.0,16480881.0
0.1,0.1000079,-6.46118e-09,10.0,16480179.0
0.2,0.2000111,-6.095636e-09,10.0,16478291.0
0.2,0.2000113,-6.15698e-09,10.0,16227867.0
0.2,0.2000109,-6.169616e-09,10.0,16227706.0
0.2,0.2000109,-6.243138e-09,10.0,16218823.0
0.2,0.2000117,-6.258987e-09,10.0,16229830.0
0.2,0.2000107,-6.233257e-09,10.0,16229864.0
0.2,0.2000118,-6.317267e-09,10.0,16228641.0
0.2,0.2000118,-6.207516e-09,10.0,16224510.0
0.2,0.2000116,-6.280434e-09,10.0,16221907.0
0.2,0.2000118,-6.375243e-09,10.0,16226241.0
0.30000000000000004,0.3000059,-6.197336e-09,10.0,16232343.0
0.30000000000000004,0.3000056,-6.432528e-09,10.0,15978265.0
0.30000000000000004,0.3000045,-6.279507e-09,10.0,15974112.0
0.30000000000000004,0.3000058,-6.138821e-09,10.0,15971570.0
0.30000000000000004,0.3000081,-6.169532e-09,10.0,15975258.0
0.30000000000000004,0.3000069,-6.254383e-09,10.0,15965701.0
0.30000000000000004,0.3000053,-6.188063e-09,10.0,15980632.0
0.30000000000000004,0.3000056,-6.248412e-09,10.0,15978814.0
0.30000000000000004,0.3000054,-6.243129e-09,10.0,15977367.0
0.30000000000000004,0.3000059,-6.35035e-09,10.0,15974843.0
0.4,0.3999956,-6.221375e-09,10.0,15981901.0
0.4,0.3999962,-6.252317e-09,10.0,15726519.0
0.4,0.3999955,-6.301709e-09,10.0,15729051.0
0.4,0.3999958,-6.307766e-09,10.0,15729615.0
0.4,0.3999955,-6.254842e-09,10.0,15727194.0
0.4,0.399996,-6.292746e-09,10.0,15725658.0
0.4,0.3999968,-6.224282e-09,10.0,15727111.0
0.4,0.3999961,-6.185453e-09,10.0,15728672.0
0.4,0.3999954,-6.203907e-09,10.0,15727586.0
0.4,0.3999967,-6.264945e-09,10.0,15728802.0
0.5,0.5000156,-6.158567e-09,10.0,15725931.0
0.5,0.5000161,-6.197626e-09,10.0,15471975.0
0.5,0.5000145,-6.225503e-09,10.0,15466087.0
0.5,0.500016,-6.137658e-09,10.0,15466226.0
0.5,0.5000162,-6.204057e-09,10.0,15472633.0
0.5,0.5000163,-6.241124e-09,10.0,15472830.0
0.5,0.5000157,-6.271754e-09,10.0,15469637.0
0.5,0.5000159,-6.312195e-09,10.0,15469649.0
0.5,0.5000147,-6.222129e-09,10.0,15467781.0
0.5,0.5000169,-6.366563e-09,10.0,15469867.0
0.6,0.6000023,-6.027293e-09,10.0,15467384.0
0.6,0.5999985,-6.110312e-09,10.0,15209799.0
0.6,0.6000022,-6.158553e-09,10.0,15208479.0
0.6,0.6000023,-6.173799e-09,10.0,15209189.0
0.6,0.6000021,-6.180152e-09,10.0,15210405.0
0.6,0.6000035,-6.235521e-09,10.0,15210460.0
0.6,0.6000044,-6.204582e-09,10.0,15209292.0
0.6,0.6000011,-6.13596e-09,10.0,15210096.0
0.6,0.600003,-6.210253e-09,10.0,15210512.0
0.6,0.6000026,-6.246477e-09,10.0,15209194.0
0.7,0.6999768,-6.148975e-09,10.0,15209516.0
0.7,0.6999776,-6.142698e-09,10.0,14979060.0
0.7,0.6999784,-6.254202e-09,10.0,14979013.0
0.7,0.6999786,-6.173027e-09,10.0,14978744.0
0.7,0.6999772,-6.176543e-09,10.0,14976505.0
0.7,0.6999772,-6.155872e-09,10.0,14979093.0
0.7,0.6999784,-6.183592e-09,10.0,14978242.0
0.7,0.6999782,-6.216678e-09,10.0,14977623.0
0.7,0.699977,-6.21943e-09,10.0,14979107.0
0.7,0.6999785,-6.062886e-09,10.0,14979123.0
0.7999999999999999,0.7999948,-6.079206e-09,10.0,14978588.0
0.7999999999999999,0.7999946,-6.170641e-09,10.0,14749206.0
0.7999999999999999,0.7999951,-6.219889e-09,10.0,14749090.0
0.7999999999999999,0.7999936,-6.127067e-09,10.0,14749849.0
0.7999999999999999,0.7999939,-6.252897e-09,10.0,14750142.0
0.7999999999999999,0.799992,-6.033481e-09,10.0,14748796.0
0.7999999999999999,0.7999941,-6.303669e-09,10.0,14748306.0
0.7999999999999999,0.7999932,-6.111289e-09,10.0,14750244.0
0.7999999999999999,0.7999948,-6.21552e-09,10.0,14750423.0
0.7999999999999999,0.7999954,-6.047796e-09,10.0,14749676.0
0.8999999999999999,0.899984,-6.163208e-09,10.0,14752209.0
0.8999999999999999,0.8999845,-6.211224e-09,10.0,14530152.0
0.8999999999999999,0.8999856,-6.241858e-09,10.0,14522208.0
0.8999999999999999,0.8999845,-6.112583e-09,10.0,14521544.0
0.8999999999999999,0.8999851,-6.197748e-09,10.0,14526961.0
0.8999999999999999,0.8999835,-6.117256e-09,10.0,14523983.0
0.8999999999999999,0.8999842,-6.116098e-09,10.0,14519900.0
0.8999999999999999,0.8999838,-6.162442e-09,10.0,14520054.0
0.8999999999999999,0.899984,-6.396408e-09,10.0,14532301.0
0.8999999999999999,0.8999829,-6.216889e-09,10.0,14521430.0
0.9999999999999999,0.9999716,-6.239634e-09,10.0,14523692.0
0.9999999999999999,0.9999724,-6.119319e-09,10.0,14295780.0
0.9999999999999999,0.9999699,-6.215276e-09,10.0,14297840.0
0.9999999999999999,0.999973,-6.19973e-09,10.0,14305748.0
0.9999999999999999,0.9999726,-6.141909e-09,10.0,14295302.0
0.9999999999999999,0.9999734,-6.104304e-09,10.0,14296954.0
0.9999999999999999,0.9999723,-6.159372e-09,10.0,14303041.0
0.9999999999999999,0.9999713,-6.173539e-09,10.0,14298061.0
0.9999999999999999,0.9999717,-6.251573e-09,10.0,14302237.0
0.9999999999999999,0.9999736,-6.261995e-09,10.0,14294946.0
1.0999999999999999,1.099983,-6.20708e-09,10.0,14298539.0
1.0999999999999999,1.099984,-6.215272e-09,10.0,14078027.0
1.0999999999999999,1.099982,-6.169316e-09,10.0,14073762.0
1.0999999999999999,1.099984,-6.180659e-09,10.0,14075438.0
1.0999999999999999,1.099983,-6.133404e-09,10.0,14078062.0
1.0999999999999999,1.099983,-6.191299e-09,10.0,14077741.0
1.0999999999999999,1.099983,-6.129034e-09,10.0,14076285.0
1.0999999999999999,1.099983,-6.080481e-09,10.0,14082986.0
1.0999999999999999,1.099982,-6.187771e-09,10.0,14075994.0
1.0999999999999999,1.099983,-6.036826e-09,10.0,14077997.0
1.2,1.199974,-6.074655e-09,10.0,14075372.0
1.2,1.199973,-6.186934e-09,10.0,13851446.0
1.2,1.199973,-6.156375e-09,10.0,13877984.0
1.2,1.199974,-6.115938e-09,10.0,13870837.0
1.2,1.199973,-6.179733e-09,10.0,13875347.0
1.2,1.199974,-6.11348e-09,10.0,13860595.0
1.2,1.199974,-6.028854e-09,10.0,13866074.0
1.2,1.199972,-6.618863e-09,10.0,13874826.0
1.2,1.199973,-6.250032e-09,10.0,13854330.0
1.2,1.199973,-5.809746e-09,10.0,13867193.0
1.3,1.299998,-6.105209e-09,10.0,13868597.0
1.3,1.299998,-6.198568e-09,10.0,13564757.0
1.3,1.299999,-6.21197e-09,10.0,14591762.0
1.3,1.299998,-6.052822e-09,10.0,12621902.0
1.3,1.299997,-6.004191e-09,10.0,13883196.0
1.3,1.299998,-6.220395e-09,10.0,11856947.0
1.3,1.299998,-6.396458e-09,10.0,11924766.0
1.3,1.299998,-6.083226e-09,10.0,11730132.0
1.3,1.299999,-6.143342e-09,10.0,12058106.0
1.3,1.299997,-6.215485e-09,10.0,12360109.0
