V,V_in,I_in,I_sps,V_sps
-2.2,-2.19983,-6.959038e-09,10.0,5702866.0
-2.2,-2.199835,-6.873878e-09,10.0,8311124.0
-2.2,-2.19983,-6.99387e-09,10.0,8311470.0
-2.2,-2.199826,-6.878018e-09,10.0,8311503.0
-2.2,-2.199833,-6.934992e-09,10.0,8311624.0
-2.2,-2.199833,-6.871584e-09,10.0,8311612.0
-2.2,-2.199826,-6.84884e-09,10.0,8311627.0
-2.2,-2.199842,-6.898925e-09,10.0,8311685.0
-2.2,-2.199832,-6.902682e-09,10.0,8311604.0
-2.2,-2.199833,-6.993035e-09,10.0,8311729.0
-2.1,-2.099968,7.752925e-09,10.0,8311779.0
-2.1,-2.099969,-6.444158e-09,10.0,8311897.0
-2.1,-2.099968,-6.74564e-09,10.0,8311965.0
-2.1,-2.09997,-6.741199e-09,10.0,8312011.0
-2.1,-2.099969,-6.963957e-09,10.0,8311938.0
-2.1,-2.099971,-6.773668e-09,10.0,8312022.0
-2.1,-2.099968,-6.762793e-09,10.0,8311989.0
-2.1,-2.09997,-6.787451e-09,10.0,8312120.0
-2.1,-2.099968,-6.774737e-09,10.0,8311985.0
-2.1,-2.099971,-6.799089e-09,10.0,8312024.0
-2.0,-1.999982,-6.75575e-09,10.0,8312046.0
-2.0,-1.999982,-6.796556e-09,10.0,8312208.0
-2.0,-1.99998,-6.885846e-09,10.0,8312140.0
-2.0,-1.999982,-6.83301e-09,10.0,8312373.0
-2.0,-1.999982,-6.741654e-09,10.0,8312280.0
-2.0,-1.999982,-6.82336e-09,10.0,8312240.0
-2.0,-1.999982,-6.79012e-09,10.0,8312288.0
-2.0,-1.999985,-6.760413e-09,10.0,8312183.0
-2.0,-1.999983,-6.785072e-09,10.0,8312335.0
-2.0,-1.99998,-6.778718e-09,10.0,8312275.0
-1.9,-1.899965,-6.767692e-09,10.0,8312228.0
-1.9,-1.899966,-6.844502e-09,10.0,8312385.0
-1.9,-1.899969,-6.784614e-09,10.0,8312549.0
-1.9,-1.899966,-6.721208e-09,10.0,8312467.0
-1.9,-1.899964,-6.778943e-09,10.0,8312521.0
-1.9,-1.899966,-6.771206e-09,10.0,8312517.0
-1.9,-1.899967,-6.794874e-09,10.0,8312429.0
-1.9,-1.899969,-6.683225e-09,10.0,8312327.0
-1.9,-1.899968,-5.92419e-09,10.0,8312502.0
-1.9,-1.899966,-6.77894e-09,10.0,8312626.0
-1.7999999999999998,-1.79998,-6.715772e-09,10.0,8312575.0
-1.7999999999999998,-1.799982,-6.626322e-09,10.0,8312824.0
-1.7999999999999998,-1.799982,-6.712477e-09,10.0,8312688.0
-1.7999999999999998,-1.799983,-6.724653e-09,10.0,8312812.0
-1.7999999999999998,-1.799981,-6.788825e-09,10.0,8312744.0
-1.7999999999999998,-1.799982,-6.755511e-09,10.0,8312743.0
-1.7999999999999998,-1.799981,-6.700454e-09,10.0,8312649.0
-1.7999999999999998,-1.799981,-6.739812e-09,10.0,8312851.0
-1.7999999999999998,-1.799982,-6.734449e-09,10.0,8312701.0
-1.7999999999999998,-1.799981,-6.732155e-09,10.0,8312714.0
-1.6999999999999997,-1.699967,-6.681232e-09,10.0,8312802.0
-1.6999999999999997,-1.699968,-6.578157e-09,10.0,8313042.0
-1.6999999999999997,-1.699968,-6.87375e-09,10.0,8312983.0
-1.6999999999999997,-1.699967,-6.798085e-09,10.0,8312929.0
-1.6999999999999997,-1.699966,-6.420253e-09,10.0,8312914.0
-1.6999999999999997,-1.699966,-6.637654e-09,10.0,8312830.0
-1.6999999999999997,-1.699967,-6.758963e-09,10.0,8312794.0
-1.6999999999999997,-1.699968,-6.339385e-09,10.0,8312781.0
-1.6999999999999997,-1.699968,-6.815318e-09,10.0,8312959.0
-1.6999999999999997,-1.699968,-6.889596e-09,10.0,8312938.0
-1.5999999999999996,-1.599982,-6.76409e-09,10.0,8312819.0
-1.5999999999999996,-1.59998,-6.66867e-09,10.0,8313050.0
-1.5999999999999996,-1.599981,-6.75084e-09,10.0,8313170.0
-1.5999999999999996,-1.599981,-6.719364e-09,10.0,8313194.0
-1.5999999999999996,-1.59998,-6.701603e-09,10.0,8313166.0
-1.5999999999999996,-1.59998,-6.67043e-09,10.0,8313108.0
-1.5999999999999996,-1.599981,-6.723118e-09,10.0,8313129.0
-1.5999999999999996,-1.599981,-5.10404e-09,10.0,8313048.0
-1.5999999999999996,-1.599981,-7.76648e-09,10.0,8312940.0
-1.5999999999999996,-1.599982,-6.024043e-09,10.0,8313063.0
-1.4999999999999996,-1.499964,-6.758724e-09,10.0,8313097.0
-1.4999999999999996,-1.499963,-7.383371e-09,10.0,8313149.0
-1.4999999999999996,-1.499963,-6.605181e-09,10.0,8313343.0
-1.4999999999999996,-1.499964,-6.646081e-09,10.0,8313179.0
-1.4999999999999996,-1.499964,-6.705808e-09,10.0,8313266.0
-1.4999999999999996,-1.499964,-6.708644e-09,10.0,8313324.0
-1.4999999999999996,-1.499963,-6.365269e-09,10.0,8313327.0
-1.4999999999999996,-1.499964,-5.603094e-09,10.0,8313333.0
-1.4999999999999996,-1.499963,-6.576779e-09,10.0,8313255.0
-1.4999999999999996,-1.499965,-5.926176e-09,10.0,8313288.0
