V,V_in,I_in,I_sps,V_sps
-3.3,-3.299762,-5.05662e-08,10.0,16715343.0
-3.3,-3.299759,-5.262646e-08,10.0,8314775.0
-3.3,-3.299775,-5.026341e-08,10.0,8315003.0
-3.3,-3.299759,-5.023276e-08,10.0,8315302.0
-3.3,-3.299762,-5.025705e-08,10.0,8315354.0
-3.3,-3.299765,-5.001295e-08,10.0,8315522.0
-3.3,-3.29976,-4.996591e-08,10.0,8315571.0
-3.3,-3.299762,-5.011102e-08,10.0,8315573.0
-3.3,-3.299755,-5.01833e-08,10.0,8315559.0
-3.3,-3.299763,-4.992614e-08,10.0,8315684.0
-3.1999999999999997,-3.199966,-1.102039e-08,10.0,8315715.0
-3.1999999999999997,-3.199967,-1.099758e-08,10.0,8127406.0
-3.1999999999999997,-3.199956,-1.095569e-08,10.0,8127138.0
-3.1999999999999997,-3.199965,-1.104659e-08,10.0,8127309.0
-3.1999999999999997,-3.199957,-1.106274e-08,10.0,8127176.0
-3.1999999999999997,-3.199964,-1.101932e-08,10.0,8126940.0
-3.1999999999999997,-3.199962,-1.10374e-08,10.0,8127950.0
-3.1999999999999997,-3.199962,-1.108962e-08,10.0,8127061.0
-3.1999999999999997,-3.199958,-1.106718e-08,10.0,8127501.0
-3.1999999999999997,-3.19996,-1.108396e-08,10.0,8127394.0
-3.0999999999999996,-3.099893,-7.623038e-09,10.0,8127210.0
-3.0999999999999996,-3.099884,-7.687438e-09,10.0,7839356.0
-3.0999999999999996,-3.099905,-7.63805e-09,10.0,7836367.0
-3.0999999999999996,-3.099909,-7.58406e-09,10.0,7835752.0
-3.0999999999999996,-3.09989,-7.62955e-09,10.0,7839112.0
-3.0999999999999996,-3.099889,-7.653363e-09,10.0,7838558.0
-3.0999999999999996,-3.099894,-7.595616e-09,10.0,7835851.0
-3.0999999999999996,-3.0999,-7.62641e-09,10.0,7839926.0
-3.0999999999999996,-3.099903,-7.671046e-09,10.0,7838023.0
-3.0999999999999996,-3.09989,-7.631695e-09,10.0,7837499.0
-2.9999999999999996,-2.999777,-7.410383e-09,10.0,7841788.0
-2.9999999999999996,-2.999767,-7.367422e-09,10.0,7555135.0
-2.9999999999999996,-2.999781,-7.444072e-09,10.0,7555266.0
-2.9999999999999996,-2.999787,-7.447216e-09,10.0,7554911.0
-2.9999999999999996,-2.99977,-7.384038e-09,10.0,7554430.0
-2.9999999999999996,-2.999774,-7.411534e-09,10.0,7555542.0
-2.9999999999999996,-2.999774,-7.446225e-09,10.0,7555964.0
-2.9999999999999996,-2.999772,-7.399204e-09,10.0,7555926.0
-2.9999999999999996,-2.999758,-7.370876e-09,10.0,7554805.0
-2.9999999999999996,-2.999774,-7.41107e-09,10.0,7554360.0
-2.8999999999999995,-2.899977,-7.383504e-09,10.0,7556228.0
-2.8999999999999995,-2.899979,-7.349578e-09,10.0,7278306.0
-2.8999999999999995,-2.899986,-7.313358e-09,10.0,7276795.0
-2.8999999999999995,-2.89999,-7.330199e-09,10.0,7278496.0
-2.8999999999999995,-2.899991,-7.313669e-09,10.0,7277997.0
-2.8999999999999995,-2.89997,-7.331578e-09,10.0,7277620.0
-2.8999999999999995,-2.899981,-7.358696e-09,10.0,7277099.0
-2.8999999999999995,-2.899975,-7.387865e-09,10.0,7278402.0
-2.8999999999999995,-2.899966,-7.340086e-09,10.0,7276509.0
-2.8999999999999995,-2.899972,-7.377077e-09,10.0,7278177.0
-2.7999999999999994,-2.79984,-7.350112e-09,10.0,7278177.0
-2.7999999999999994,-2.799837,-7.268712e-09,10.0,7001991.0
-2.7999999999999994,-2.799835,-7.291537e-09,10.0,7001821.0
-2.7999999999999994,-2.799833,-7.50281e-09,10.0,6999353.0
-2.7999999999999994,-2.799833,-7.343298e-09,10.0,6999024.0
-2.7999999999999994,-2.799842,-7.24636e-09,10.0,6999171.0
-2.7999999999999994,-2.799844,-7.315884e-09,10.0,6999984.0
-2.7999999999999994,-2.799845,-7.335647e-09,10.0,6997867.0
-2.7999999999999994,-2.799842,-7.277904e-09,10.0,6999308.0
-2.7999999999999994,-2.799842,-7.527388e-09,10.0,6999917.0
-2.6999999999999993,-2.699704,-7.263504e-09,10.0,6999777.0
-2.6999999999999993,-2.699703,-7.257308e-09,10.0,6725431.0
-2.6999999999999993,-2.699703,-7.286403e-09,10.0,6727975.0
-2.6999999999999993,-2.699717,-7.209594e-09,10.0,6727818.0
-2.6999999999999993,-2.699705,-7.42708e-09,10.0,6725628.0
-2.6999999999999993,-2.699704,-7.221535e-09,10.0,6725421.0
