V,V_in,I_in,I_sps,V_sps
0.0,3.493282e-06,-2.467392e-09,10.0,1047242.0
0.0,4.040849e-06,-2.255046e-09,10.0,1047253.0
0.0,4.725305e-06,-2.482021e-09,10.0,1047233.0
0.0,4.314599e-06,-2.165141e-09,10.0,1047236.0
0.0,4.314643e-06,-2.308113e-09,10.0,1047295.0
0.0,3.767025e-06,-3.231255e-09,10.0,1047245.0
0.0,4.177768e-06,-2.56388e-09,10.0,1047190.0
0.0,4.177775e-06,-2.456904e-09,10.0,1047212.0
0.0,3.767091e-06,-2.447249e-09,10.0,1047237.0
0.0,3.630244e-06,-2.369373e-09,10.0,1047239.0
0.1,0.1000024,-2.445723e-09,10.0,1047261.0
0.1,0.1000034,-2.364934e-09,10.0,1031850.0
0.1,0.1000032,-2.336064e-09,10.0,1031893.0
0.1,0.1000033,-2.323965e-09,10.0,1031876.0
0.1,0.1000032,-2.429106e-09,10.0,1031774.0
0.1,0.1000024,-2.471296e-09,10.0,1031808.0
0.1,0.1000029,-2.423284e-09,10.0,1031837.0
0.1,0.100003,-2.422823e-09,10.0,1031819.0
0.1,0.1000029,-2.404447e-09,10.0,1031802.0
0.1,0.1000036,-2.379023e-09,10.0,1031814.0
0.2,0.200005,-2.379404e-09,10.0,1031770.0
0.2,0.200007,-2.415091e-09,10.0,1016389.0
0.2,0.2000075,-2.44641e-09,10.0,1016375.0
0.2,0.2000068,-2.437831e-09,10.0,1016392.0
0.2,0.2000079,-2.413482e-09,10.0,1016380.0
0.2,0.2000073,-2.351532e-09,10.0,1016458.0
0.2,0.200007,-2.394493e-09,10.0,1016411.0
0.2,0.2000075,-2.35528e-09,10.0,1016375.0
0.2,0.2000072,-2.374275e-09,10.0,1016429.0
0.2,0.2000073,-2.399546e-09,10.0,1016377.0
0.30000000000000004,0.300003,-2.39725e-09,10.0,1016390.0
0.30000000000000004,0.2999996,-2.413178e-09,10.0,1000940.0
0.30000000000000004,0.3000006,-2.439597e-09,10.0,1000958.0
0.30000000000000004,0.3000007,-2.451237e-09,10.0,1000949.0
0.30000000000000004,0.3000003,-2.408353e-09,10.0,1000936.0
0.30000000000000004,0.3000006,-2.416698e-09,10.0,1000958.0
0.30000000000000004,0.3000004,-2.24555e-09,10.0,1000975.0
0.30000000000000004,0.3000008,-2.416085e-09,10.0,1000948.0
0.30000000000000004,0.3000011,-2.496111e-09,10.0,1000976.0
0.30000000000000004,0.2999998,-2.444037e-09,10.0,1000964.0
0.4,0.39999,-2.368531e-09,10.0,1000923.0
0.4,0.3999912,-2.475358e-09,10.0,985511.0
0.4,0.399992,-2.436838e-09,10.0,985481.0
0.4,0.3999914,-2.412488e-09,10.0,985475.0
0.4,0.3999911,-2.401843e-09,10.0,985477.0
0.4,0.3999917,-2.387984e-09,10.0,985515.0
0.4,0.3999916,-2.406209e-09,10.0,985497.0
0.4,0.3999909,-2.472907e-09,10.0,985494.0
0.4,0.3999913,-2.515867e-09,10.0,985480.0
0.4,0.3999905,-2.393955e-09,10.0,985510.0
0.5,0.5000105,-2.436993e-09,10.0,985510.0
0.5,0.5000111,-2.386833e-09,10.0,970027.0
0.5,0.50001,-2.403146e-09,10.0,970008.0
0.5,0.5000105,-2.561503e-09,10.0,969940.0
0.5,0.5000103,-2.48868e-09,10.0,970044.0
0.5,0.5000105,-2.419687e-09,10.0,969919.0
0.5,0.5000103,-2.390125e-09,10.0,970057.0
0.5,0.5000104,-2.385226e-09,10.0,969977.0
0.5,0.5000096,-2.414094e-09,10.0,969994.0
0.5,0.5000108,-2.433852e-09,10.0,969940.0
0.6,0.5999966,-2.389816e-09,10.0,969976.0
0.6,0.5999971,-2.40016e-09,10.0,954471.0
0.6,0.5999971,-2.39656e-09,10.0,954580.0
0.6,0.5999976,-2.415855e-09,10.0,954447.0
0.6,0.5999972,-2.390968e-09,10.0,954454.0
0.6,0.5999966,-2.43454e-09,10.0,954523.0
0.6,0.5999977,-2.426957e-09,10.0,954522.0
0.6,0.5999969,-2.361181e-09,10.0,954509.0
0.6,0.5999976,-2.360798e-09,10.0,954588.0
0.6,0.5999971,-2.405595e-09,10.0,954545.0
0.7,0.6999737,-2.375499e-09,10.0,954486.0
0.7,0.6999737,-2.394261e-09,10.0,939116.0
0.7,0.6999747,-2.389895e-09,10.0,939085.0
0.7,0.6999739,-2.398626e-09,10.0,939089.0
0.7,0.6999736,-2.40613e-09,10.0,939109.0
0.7,0.6999736,-2.406743e-09,10.0,939080.0
0.7,0.6999739,-2.37297e-09,10.0,939004.0
0.7,0.6999736,-2.472831e-09,10.0,939108.0
0.7,0.6999742,-2.381319e-09,10.0,939053.0
0.7,0.6999748,-2.381013e-09,10.0,939117.0
0.7999999999999999,0.7999913,-2.404521e-09,10.0,939070.0
0.7999999999999999,0.7999902,-2.382163e-09,10.0,923504.0
0.7999999999999999,0.7999911,-2.408122e-09,10.0,923677.0
0.7999999999999999,0.7999911,-2.40322e-09,10.0,923077.0
0.7999999999999999,0.7999903,-2.378485e-09,10.0,923537.0
0.7999999999999999,0.7999892,-2.403983e-09,10.0,923720.0
0.7999999999999999,0.7999913,-2.282074e-09,10.0,923612.0
0.7999999999999999,0.7999895,-2.397628e-09,10.0,923611.0
0.7999999999999999,0.7999899,-2.392423e-09,10.0,922976.0
0.7999999999999999,0.7999899,-2.38354e-09,10.0,923958.0
0.8999999999999999,0.8999782,-2.375192e-09,10.0,923679.0
0.8999999999999999,0.8999795,-2.404904e-09,10.0,907806.0
0.8999999999999999,0.8999797,-2.40368e-09,10.0,907806.0
0.8999999999999999,0.8999787,-2.417154e-09,10.0,907756.0
0.8999999999999999,0.8999789,-2.403602e-09,10.0,907686.0
0.8999999999999999,0.8999789,-2.396175e-09,10.0,907785.0
0.8999999999999999,0.8999782,-2.394335e-09,10.0,907491.0
0.8999999999999999,0.8999791,-2.415471e-09,10.0,907420.0
0.8999999999999999,0.8999805,-2.387676e-09,10.0,908263.0
0.8999999999999999,0.8999801,-2.364702e-09,10.0,907677.0
0.9999999999999999,0.9999691,-2.373352e-09,10.0,907905.0
0.9999999999999999,0.9999679,-2.378635e-09,10.0,892540.0
0.9999999999999999,0.9999693,-2.378408e-09,10.0,892675.0
0.9999999999999999,0.9999687,-3.738192e-09,10.0,892482.0
0.9999999999999999,0.9999694,-2.621695e-09,10.0,892503.0
0.9999999999999999,0.9999693,-2.438673e-09,10.0,892487.0
0.9999999999999999,0.999968,-2.623453e-09,10.0,892459.0
0.9999999999999999,0.9999685,-2.68617e-09,10.0,892685.0
0.9999999999999999,0.9999686,-2.399697e-09,10.0,892456.0
0.9999999999999999,0.9999685,-2.483625e-09,10.0,892543.0
1.0999999999999999,1.099979,-2.411487e-09,10.0,892537.0
1.0999999999999999,1.099981,-2.412868e-09,10.0,878371.0
1.0999999999999999,1.099981,-2.440359e-09,10.0,878197.0
1.0999999999999999,1.099978,-2.352524e-09,10.0,878287.0
1.0999999999999999,1.09998,-2.827303e-09,10.0,878191.0
1.0999999999999999,1.09998,-2.606379e-09,10.0,878185.0
1.0999999999999999,1.099978,-2.170425e-09,10.0,878320.0
1.0999999999999999,1.09998,-2.425964e-09,10.0,878275.0
1.0999999999999999,1.09998,-2.453224e-09,10.0,878345.0
1.0999999999999999,1.09998,-2.455521e-09,10.0,878250.0
1.2,1.19997,-2.390584e-09,10.0,878282.0
1.2,1.199971,-2.434614e-09,10.0,864107.0
1.2,1.199971,-2.458507e-09,10.0,864244.0
1.2,1.19997,-2.450083e-09,10.0,864153.0
1.2,1.199972,-2.434537e-09,10.0,864200.0
1.2,1.199971,-2.411641e-09,10.0,864141.0
1.2,1.19997,-2.437985e-09,10.0,864155.0
1.2,1.199972,-2.468231e-09,10.0,864129.0
1.2,1.19997,-2.441963e-09,10.0,864128.0
1.2,1.199971,-2.4229e-09,10.0,864162.0
1.3,1.299993,-2.428794e-09,10.0,864134.0
1.3,1.299994,-2.439207e-09,10.0,850041.0
1.3,1.299994,-2.411947e-09,10.0,849861.0
1.3,1.299994,-2.112374e-09,10.0,850184.0
1.3,1.299993,-2.47972e-09,10.0,850148.0
1.3,1.299992,-2.4497e-09,10.0,850208.0
1.3,1.299996,-1.458177e-09,10.0,850115.0
1.3,1.299993,-2.343947e-09,10.0,850209.0
1.3,1.299995,-2.272348e-09,10.0,850068.0
1.3,1.299995,-2.2761e-09,10.0,850329.0
1.4000000000000001,1.399961,-2.428489e-09,10.0,850098.0
1.4000000000000001,1.399962,-2.344254e-09,10.0,836230.0
1.4000000000000001,1.399963,-2.375344e-09,10.0,836250.0
1.4000000000000001,1.399962,-2.403141e-09,10.0,836137.0
1.4000000000000001,1.399962,-2.36133e-09,10.0,836081.0
1.4000000000000001,1.399963,-2.361483e-09,10.0,836334.0
1.4000000000000001,1.399962,-2.386446e-09,10.0,836271.0
1.4000000000000001,1.399962,-2.374577e-09,10.0,836190.0
1.4000000000000001,1.399962,-2.374962e-09,10.0,836109.0
1.4000000000000001,1.399962,-2.405133e-09,10.0,836139.0
1.5000000000000002,1.499951,-2.361942e-09,10.0,836226.0
1.5000000000000002,1.499949,-2.404672e-09,10.0,822330.0
1.5000000000000002,1.499951,-2.364544e-09,10.0,822136.0
1.5000000000000002,1.499951,-2.328247e-09,10.0,822274.0
1.5000000000000002,1.49995,-2.350914e-09,10.0,822274.0
1.5000000000000002,1.499949,-2.361789e-09,10.0,822057.0
1.5000000000000002,1.499949,-2.374961e-09,10.0,822239.0
1.5000000000000002,1.499949,-2.382536e-09,10.0,822133.0
1.5000000000000002,1.499951,-2.36217e-09,10.0,822284.0
1.5000000000000002,1.499951,-2.347468e-09,10.0,822183.0
1.6000000000000003,1.599971,-2.348769e-09,10.0,822471.0
