V,V_in,I_in,I_sps,V_sps
-3.0,-2.999736,-4.798972e-09,0.0,7554726.0
-3.0,-2.999735,-4.780518e-09,0.0,7557592.0
-3.0,-2.999744,-4.787407e-09,0.0,7555102.0
-3.0,-2.999737,-4.777072e-09,0.0,7555242.0
-3.0,-2.999738,-4.793231e-09,0.0,7555663.0
-3.0,-2.999737,-4.997689e-09,0.0,7555101.0
-3.0,-2.999748,-4.784884e-09,0.0,7554774.0
-3.0,-2.999746,-4.832589e-09,0.0,7554892.0
-3.0,-2.999741,-4.842236e-09,0.0,7555034.0
-3.0,-2.999744,-4.832438e-09,0.0,7555952.0
-2.9,-2.89994,-4.776533e-09,0.0,7271455.0
-2.9,-2.899952,-4.776001e-09,0.0,7271010.0
-2.9,-2.899958,-4.804793e-09,0.0,7270477.0
-2.9,-2.899947,-4.765049e-09,0.0,7271026.0
-2.9,-2.899946,-4.759152e-09,0.0,7271800.0
-2.9,-2.89995,-4.792994e-09,0.0,7271654.0
-2.9,-2.899947,-4.774007e-09,0.0,7271059.0
-2.9,-2.899947,-4.756702e-09,0.0,7270670.0
-2.9,-2.899947,-5.13033e-09,0.0,7271512.0
-2.9,-2.899947,-4.911236e-09,0.0,7270973.0
-2.8,-2.799813,-4.738778e-09,0.0,6983574.0
-2.8,-2.799816,-4.710062e-09,0.0,6982423.0
-2.8,-2.799802,-4.689769e-09,0.0,6981841.0
-2.8,-2.799805,-4.700111e-09,0.0,6982418.0
-2.8,-2.799801,-4.696432e-09,0.0,6984026.0
-2.8,-2.799801,-4.904191e-09,0.0,6981140.0
-2.8,-2.799803,-4.702788e-09,0.0,6982409.0
-2.8,-2.799802,-4.533244e-09,0.0,6983403.0
-2.8,-2.799812,-3.576924e-09,0.0,6982844.0
-2.8,-2.799804,-4.688619e-09,0.0,6982844.0
-2.6999999999999997,-2.699669,-4.748812e-09,0.0,6682790.0
-2.6999999999999997,-2.699665,-4.814517e-09,0.0,6676803.0
-2.6999999999999997,-2.699649,-4.743836e-09,0.0,6677648.0
-2.6999999999999997,-2.699665,-4.732657e-09,0.0,6678829.0
-2.6999999999999997,-2.699669,-4.646429e-09,0.0,6680947.0
-2.6999999999999997,-2.699663,-4.655003e-09,0.0,6675370.0
-2.6999999999999997,-2.69966,-4.768571e-09,0.0,6680291.0
-2.6999999999999997,-2.699661,-4.702787e-09,0.0,6680049.0
-2.6999999999999997,-2.699666,-4.709527e-09,0.0,6678209.0
-2.6999999999999997,-2.699664,-4.722234e-09,0.0,6680271.0
-2.5999999999999996,-2.59989,-4.619547e-09,0.0,6158770.0
-2.5999999999999996,-2.599889,-4.639994e-09,0.0,6409722.0
-2.5999999999999996,-2.599875,-4.642366e-09,0.0,6137222.0
-2.5999999999999996,-2.599887,-4.57329e-09,0.0,6325069.0
-2.5999999999999996,-2.599884,-4.492961e-09,0.0,6010064.0
-2.5999999999999996,-2.599892,-4.562188e-09,0.0,6062671.0
-2.5999999999999996,-2.599893,-4.670007e-09,0.0,5900779.0
-2.5999999999999996,-2.59989,-4.580953e-09,0.0,6122112.0
-2.5999999999999996,-2.599887,-4.631722e-09,0.0,6053156.0
-2.5999999999999996,-2.599894,-4.671696e-09,0.0,5957674.0
-2.4999999999999996,-2.499829,-4.485074e-09,0.0,6030630.0
-2.4999999999999996,-2.499826,-4.489131e-09,0.0,6033743.0
-2.4999999999999996,-2.499827,-4.556828e-09,0.0,6030146.0
-2.4999999999999996,-2.499816,-4.563794e-09,0.0,6034408.0
-2.4999999999999996,-2.499828,-4.54603e-09,0.0,6032390.0
