V,V_in,I_in,I_sps,V_sps
-3.0,-2.999807,-5.178449e-09,0.0,7554065.0
-3.0,-2.999813,-4.913179e-09,0.0,7554042.0
-3.0,-2.99981,-5.107153e-09,0.0,7554720.0
-3.0,-2.999801,-5.127142e-09,0.0,7554280.0
-3.0,-2.999806,-5.092221e-09,0.0,7554877.0
-3.0,-2.999805,-5.095285e-09,0.0,7553987.0
-3.0,-2.999808,-5.340486e-09,0.0,7553008.0
-3.0,-2.999801,-4.99113e-09,0.0,7554407.0
-3.0,-2.99981,-5.025751e-09,0.0,7554899.0
-3.0,-2.999797,-5.06082e-09,0.0,7553520.0
-2.9,-2.900015,-4.974212e-09,0.0,7270589.0
-2.9,-2.900025,-5.001857e-09,0.0,7270201.0
-2.9,-2.900014,-4.954073e-09,0.0,7270576.0
-2.9,-2.90001,-5.011048e-09,0.0,7270063.0
-2.9,-2.900021,-4.742409e-09,0.0,7270018.0
-2.9,-2.900023,-5.006529e-09,0.0,7270468.0
-2.9,-2.900022,-5.002929e-09,0.0,7270602.0
-2.9,-2.900012,-4.987768e-09,0.0,7270329.0
-2.9,-2.90002,-4.951012e-09,0.0,7270916.0
-2.9,-2.90001,-4.92306e-09,0.0,7270443.0
-2.8,-2.799878,-4.931247e-09,0.0,6981908.0
-2.8,-2.799877,-4.901152e-09,0.0,6982401.0
-2.8,-2.799874,-4.979268e-09,0.0,6982615.0
-2.8,-2.79987,-4.935233e-09,0.0,6982689.0
-2.8,-2.799872,-4.94205e-09,0.0,6981610.0
-2.8,-2.799875,-4.963491e-09,0.0,6981719.0
-2.8,-2.79988,-5.068403e-09,0.0,6982780.0
-2.8,-2.799879,-4.97697e-09,0.0,6982288.0
-2.8,-2.799875,-4.928039e-09,0.0,6982040.0
-2.8,-2.799875,-4.629076e-09,0.0,6982278.0
-2.6999999999999997,-2.699734,-4.886991e-09,0.0,6682322.0
-2.6999999999999997,-2.699741,-4.8778e-09,0.0,6677435.0
-2.6999999999999997,-2.699734,-4.905444e-09,0.0,6682210.0
-2.6999999999999997,-2.699728,-4.886453e-09,0.0,6679191.0
-2.6999999999999997,-2.699741,-4.913407e-09,0.0,6680487.0
-2.6999999999999997,-2.699746,-4.881703e-09,0.0,6678944.0
-2.6999999999999997,-2.699736,-4.840888e-09,0.0,6679083.0
-2.6999999999999997,-2.699738,-4.866699e-09,0.0,6679925.0
-2.6999999999999997,-2.699738,-4.875274e-09,0.0,6682768.0
-2.6999999999999997,-2.699737,-4.940823e-09,0.0,6679870.0
-2.5999999999999996,-2.599962,-4.860948e-09,0.0,5832882.0
-2.5999999999999996,-2.599954,-4.785829e-09,0.0,5839588.0
-2.5999999999999996,-2.599964,-4.810491e-09,0.0,5800269.0
-2.5999999999999996,-2.599972,-4.958284e-09,0.0,5863385.0
-2.5999999999999996,-2.599959,-4.838053e-09,0.0,5869543.0
-2.5999999999999996,-2.599967,-4.843341e-09,0.0,5908097.0
-2.5999999999999996,-2.599965,-4.756732e-09,0.0,5959382.0
-2.5999999999999996,-2.59996,-4.815008e-09,0.0,6003886.0
-2.5999999999999996,-2.599957,-4.787287e-09,0.0,5928648.0
-2.5999999999999996,-2.599971,-4.835603e-09,0.0,5929636.0
-2.4999999999999996,-2.499885,-4.770359e-09,0.0,6035233.0
-2.4999999999999996,-2.49989,-4.669965e-09,0.0,6036466.0
-2.4999999999999996,-2.499897,-4.770053e-09,0.0,6032924.0
-2.4999999999999996,-2.499899,-4.764232e-09,0.0,6035583.0
-2.4999999999999996,-2.499896,-4.738425e-09,0.0,6032067.0
-2.4999999999999996,-2.499895,-4.75581e-09,0.0,6033063.0
-2.4999999999999996,-2.499892,-4.783684e-09,0.0,6021642.0
-2.4999999999999996,-2.499897,-4.72387e-09,0.0,6036214.0
-2.4999999999999996,-2.49989,-4.802525e-09,0.0,6031464.0
-2.4999999999999996,-2.499892,-4.853066e-09,0.0,6039972.0
-2.3999999999999995,-2.399791,-4.686506e-09,0.0,5798483.0
-2.3999999999999995,-2.399809,-4.690873e-09,0.0,5798867.0
-2.3999999999999995,-2.399799,-4.418789e-09,0.0,5797401.0
-2.3999999999999995,-2.399798,-4.711548e-09,0.0,5799357.0
-2.3999999999999995,-2.3998,-4.761857e-09,0.0,5799592.0
-2.3999999999999995,-2.399803,-4.675633e-09,0.0,5800171.0
-2.3999999999999995,-2.399817,-4.722726e-09,0.0,5799233.0
-2.3999999999999995,-2.399795,-4.886606e-09,0.0,5797862.0
-2.3999999999999995,-2.399799,-4.827643e-09,0.0,5799719.0
-2.3999999999999995,-2.399802,-4.713463e-09,0.0,5798432.0
-2.2999999999999994,-2.300011,-4.416721e-09,0.0,5555688.0
-2.2999999999999994,-2.299997,-4.653579e-09,0.0,5556022.0
-2.2999999999999994,-2.300017,-4.647377e-09,0.0,5554041.0
-2.2999999999999994,-2.299998,-4.648985e-09,0.0,5554898.0
-2.2999999999999994,-2.300005,-4.731685e-09,0.0,5556223.0
-2.2999999999999994,-2.300007,-4.503636e-09,0.0,5557389.0
-2.2999999999999994,-2.299999,-4.657484e-09,0.0,5556216.0
-2.2999999999999994,-2.300004,-4.667823e-09,0.0,5550322.04
-2.2999999999999994,-2.300008,-4.889129e-09,0.0,5558194.0
-2.2999999999999994,-2.300007,-4.67525e-09,0.0,5554335.0
-2.1999999999999993,-2.199857,-4.581904e-09,0.0,5653659.2
-2.1999999999999993,-2.199856,-4.584883e-09,0.0,5586239.0
-2.1999999999999993,-2.199858,-4.655185e-09,0.0,5476142.0
-2.1999999999999993,-2.199853,-4.57386e-09,0.0,5532520.0
-2.1999999999999993,-2.199853,-4.598212e-09,0.0,5557230.0
-2.1999999999999993,-2.199853,-4.63857e-09,0.0,5524132.0
-2.1999999999999993,-2.199851,-4.601121e-09,0.0,5500680.0
-2.1999999999999993,-2.199845,-4.599668e-09,0.0,5489682.0
-2.1999999999999993,-2.199862,-4.605255e-09,0.0,5523793.0
