V,V_in,I_in,I_sps,V_sps
-3.0,-2.999811,-5.168859e-09,0.0,7554287.46
-3.0,-2.99981,-1.28181e-08,0.0,7554096.36
-3.0,-2.999805,-5.461002e-09,0.0,7554661.69
-3.0,-2.999808,-4.940734e-09,0.0,7553990.62
-3.0,-2.999813,-5.05828e-09,0.0,7552684.74
-3.0,-2.999809,-5.21029e-09,0.0,7554676.32
-3.0,-2.999812,-5.134477e-09,0.0,7554304.27
-3.0,-2.999804,-5.131259e-09,0.0,7553597.21
-3.0,-2.999819,-5.081941e-09,0.0,7554587.92
-3.0,-2.999815,-5.104382e-09,0.0,7554671.69
-2.9,-2.900018,-4.911552e-09,0.0,7269305.45
-2.9,-2.90002,-5.008963e-09,0.0,7269783.27
-2.9,-2.900011,-4.950843e-09,0.0,7271382.87
-2.9,-2.900018,-4.899233e-09,0.0,7270794.17
-2.9,-2.900014,-5.256692e-09,0.0,7270633.53
-2.9,-2.900015,-5.008275e-09,0.0,7270174.8
-2.9,-2.900022,-4.962633e-09,0.0,7270665.5
-2.9,-2.900025,-4.906884e-09,0.0,7270837.91
-2.9,-2.900026,-5.043501e-09,0.0,7270054.16
-2.9,-2.900021,-5.036763e-09,0.0,7269745.22
-2.8,-2.799888,-5.073289e-09,0.0,6981766.72
-2.8,-2.799883,-4.646211e-09,0.0,6982684.37
-2.8,-2.799881,-5.095112e-09,0.0,6982243.05
-2.8,-2.799877,-5.462377e-09,0.0,6982528.84
-2.8,-2.799867,-3.150106e-09,0.0,6981010.54
-2.8,-2.799898,-3.771077e-09,0.0,6982962.77
-2.8,-2.799875,-5.319867e-09,0.0,6982597.21
-2.8,-2.799881,-4.894863e-09,0.0,6981819.76
-2.8,-2.799878,-4.941347e-09,0.0,6982090.04
-2.8,-2.799879,-4.893943e-09,0.0,6982180.45
-2.6999999999999997,-2.699741,-4.854507e-09,0.0,6677197.41
-2.6999999999999997,-2.69974,-4.856652e-09,0.0,6678506.47
-2.6999999999999997,-2.699747,-4.878169e-09,0.0,6681691.79
-2.6999999999999997,-2.69974,-4.834368e-09,0.0,6679895.18
-2.6999999999999997,-2.69974,-4.904431e-09,0.0,6677961.97
-2.6999999999999997,-2.699747,-4.89011e-09,0.0,6676851.42
-2.6999999999999997,-2.699742,-4.856191e-09,0.0,6678517.71
-2.6999999999999997,-2.699744,-4.869286e-09,0.0,6680625.54
-2.6999999999999997,-2.699741,-4.905508e-09,0.0,6680613.8
-2.6999999999999997,-2.69974,-4.884294e-09,0.0,6678313.15
-2.5999999999999996,-2.599965,-5.044722e-09,0.0,5913189.85
-2.5999999999999996,-2.599965,-4.840417e-09,0.0,5875097.17
