V,V_in,I_in,I_sps,V_sps
-3.0,-2.999817,-5.152454e-09,0.0,7553443.36
-3.0,-2.999821,-5.10987e-09,0.0,7554116.64
-3.0,-2.999821,-5.097775e-09,0.0,7553694.4
-3.0,-2.999821,-5.050681e-09,0.0,7553689.28
-3.0,-2.999817,-5.092875e-09,0.0,7553646.88
-3.0,-2.99982,-5.087742e-09,0.0,7553582.24
-3.0,-2.99983,-5.057113e-09,0.0,7553724.96
-3.0,-2.999828,-5.208659e-09,0.0,7553005.6
-3.0,-2.999821,-5.098696e-09,0.0,7553722.88
-3.0,-2.999815,-5.10796e-09,0.0,7553660.64
-2.9,-2.900032,-5.087132e-09,0.0,7269185.76
-2.9,-2.900026,-4.994164e-09,0.0,7272706.08
-2.9,-2.900032,-4.719632e-09,0.0,7269436.96
-2.9,-2.900025,-5.129712e-09,0.0,7269132.8
-2.9,-2.900022,-5.000907e-09,0.0,7268746.08
-2.9,-2.900046,-4.957478e-09,0.0,7269475.2
-2.9,-2.900028,-5.365183e-09,0.0,7269392.48
-2.9,-2.900021,-5.125957e-09,0.0,7269314.88
-2.9,-2.900023,-5.181092e-09,0.0,7268472.48
-2.9,-2.900035,-5.013005e-09,0.0,7269954.08
-2.8,-2.799884,-4.857778e-09,0.0,6981327.04
-2.8,-2.799889,-4.929762e-09,0.0,6981075.68
-2.8,-2.799884,-5.508384e-09,0.0,6981353.92
-2.8,-2.799886,-4.682644e-09,0.0,6981065.28
-2.8,-2.799887,-5.621487e-09,0.0,6981012.32
-2.8,-2.799884,-4.932676e-09,0.0,6981674.56
-2.8,-2.799888,-4.958022e-09,0.0,6981678.24
-2.8,-2.799884,-4.984824e-09,0.0,6980999.52
-2.8,-2.799883,-4.79675e-09,0.0,6981670.08
-2.8,-2.799886,-5.17604e-09,0.0,6981531.2
-2.6999999999999997,-2.699747,-4.840168e-09,0.0,6676375.36
-2.6999999999999997,-2.699727,-4.965831e-09,0.0,6680643.68
-2.6999999999999997,-2.699744,-4.90082e-09,0.0,6679376.32
-2.6999999999999997,-2.699748,-4.789934e-09,0.0,6679730.24
-2.6999999999999997,-2.699749,-5.262649e-09,0.0,6681435.04
-2.6999999999999997,-2.699757,-4.996004e-09,0.0,6678779.84
-2.6999999999999997,-2.69975,-4.935502e-09,0.0,6677660.16
-2.6999999999999997,-2.69975,-5.000065e-09,0.0,6676352.48
-2.6999999999999997,-2.69975,-4.930988e-09,0.0,6678903.84
-2.6999999999999997,-2.699741,-4.873709e-09,0.0,6681344.0
-2.4999999999999996,-2.499897,-4.856401e-09,0.0,6030433.92
-2.4999999999999996,-2.499905,-4.908169e-09,0.0,6037112.8
-2.4999999999999996,-2.499898,-4.756846e-09,0.0,6032385.6
-2.4999999999999996,-2.499897,-4.758762e-09,0.0,6037644.64
-2.4999999999999996,-2.499898,-4.751871e-09,0.0,6035022.08
-2.4999999999999996,-2.499903,-4.786793e-09,0.0,6033412.96
-2.4999999999999996,-2.499899,-4.704931e-09,0.0,6034796.32
-2.4999999999999996,-2.499895,-4.816575e-09,0.0,6036503.52
-2.4999999999999996,-2.499899,-4.78036e-09,0.0,6033607.52
-2.4999999999999996,-2.499893,-4.80954e-09,0.0,6032438.08
-2.3999999999999995,-2.399809,-4.686172e-09,0.0,5796829.76
-2.3999999999999995,-2.39982,-4.725915e-09,0.0,5797544.64
-2.3999999999999995,-2.399811,-4.68349e-09,0.0,5796928.8
-2.3999999999999995,-2.399807,-4.429404e-09,0.0,5797326.24
-2.3999999999999995,-2.399812,-4.725989e-09,0.0,5797608.16
-2.3999999999999995,-2.399803,-4.767878e-09,0.0,5798070.72
-2.3999999999999995,-2.399807,-4.67797e-09,0.0,5797372.0
-2.3999999999999995,-2.399806,-4.721625e-09,0.0,5797111.04
-2.3999999999999995,-2.399808,-4.669861e-09,0.0,5797947.84
-2.3999999999999995,-2.399813,-4.700718e-09,0.0,5797419.04
-2.2999999999999994,-2.30001,-4.64543e-09,0.0,5555843.84
-2.2999999999999994,-2.300017,-4.821788e-09,0.0,5554706.24
-2.2999999999999994,-2.300015,-4.671543e-09,0.0,5556018.4
-2.2999999999999994,-2.30001,-4.644358e-09,0.0,5555419.36
-2.2999999999999994,-2.300012,-4.694747e-09,0.0,5555137.12
-2.2999999999999994,-2.300015,-4.675216e-09,0.0,5555268.64
-2.2999999999999994,-2.300009,-4.767571e-09,0.0,5554404.0
-2.2999999999999994,-2.300016,-4.686621e-09,0.0,5554959.2
-2.2999999999999994,-2.300015,-4.675447e-09,0.0,5555501.28
-2.2999999999999994,-2.300021,-4.823699e-09,0.0,5557046.4
-2.099999999999999,-2.09997,-4.606544e-09,0.0,5093849.92
-2.099999999999999,-2.099972,-4.603711e-09,0.0,5095908.96
-2.099999999999999,-2.099971,-4.540994e-09,0.0,5095513.76
-2.099999999999999,-2.099972,-4.503928e-09,0.0,5088379.2
-2.099999999999999,-2.09997,-4.59728e-09,0.0,5094759.04
-2.099999999999999,-2.099974,-4.557458e-09,0.0,5096260.64
-2.099999999999999,-2.099972,-4.532418e-09,0.0,5094529.76
-2.099999999999999,-2.099972,-4.482716e-09,0.0,5094046.08
-2.099999999999999,-2.099973,-4.57591e-09,0.0,5094039.36
-2.099999999999999,-2.099973,-4.581424e-09,0.0,5094759.2
-1.9999999999999991,-1.999984,-4.48869e-09,0.0,4846762.88
-1.9999999999999991,-1.999984,-4.494815e-09,0.0,4845354.4
-1.9999999999999991,-1.999983,-4.525601e-09,0.0,4847624.0
-1.9999999999999991,-1.999984,-4.556232e-09,0.0,4848027.68
-1.9999999999999991,-1.999982,-4.557076e-09,0.0,4846804.16
-1.9999999999999991,-1.999982,-4.516332e-09,0.0,4847097.76
-1.9999999999999991,-1.999983,-4.620554e-09,0.0,4848360.0
-1.9999999999999991,-1.999985,-4.535858e-09,0.0,4847267.68
-1.9999999999999991,-1.999984,-4.518473e-09,0.0,4858294.72
-1.9999999999999991,-1.999984,-4.506759e-09,0.0,4844053.6
-1.899999999999999,-1.899968,-4.448714e-09,0.0,4602592.16
-1.899999999999999,-1.899969,-4.482941e-09,0.0,4602237.6
-1.899999999999999,-1.899969,-4.34143e-09,0.0,4605988.16
-1.899999999999999,-1.899969,-4.586247e-09,0.0,4606874.4
-1.899999999999999,-1.899969,-4.459129e-09,0.0,4598824.0
-1.899999999999999,-1.899969,-4.504081e-09,0.0,4605880.0
-1.899999999999999,-1.89997,-4.482411e-09,0.0,4602188.96
-1.899999999999999,-1.89997,-4.467244e-09,0.0,4604979.52
-1.899999999999999,-1.89997,-4.483022e-09,0.0,4605580.64
-1.899999999999999,-1.899969,-4.486927e-09,0.0,4605839.68
-1.799999999999999,-1.799983,-4.47835e-09,0.0,4363681.92
-1.799999999999999,-1.799984,-4.467784e-09,0.0,4364924.64
-1.799999999999999,-1.799983,-4.443276e-09,0.0,4363573.6
-1.799999999999999,-1.799983,-4.441132e-09,0.0,4366315.68
-1.799999999999999,-1.799985,-4.55332e-09,0.0,4365714.08
-1.799999999999999,-1.799985,-4.444885e-09,0.0,4367653.76
-1.799999999999999,-1.799982,-4.448562e-09,0.0,4363326.72
-1.799999999999999,-1.799982,-4.429262e-09,0.0,4366759.68
-1.799999999999999,-1.799983,-4.392046e-09,0.0,4369044.64
-1.799999999999999,-1.799983,-4.470079e-09,0.0,4367576.96
-1.6999999999999988,-1.69997,-4.439218e-09,0.0,4136383.84
-1.6999999999999988,-1.69997,-4.407667e-09,0.0,4127970.88
-1.6999999999999988,-1.69997,-4.425359e-09,0.0,4128851.36
-1.6999999999999988,-1.699971,-4.449478e-09,0.0,4139578.24
-1.6999999999999988,-1.69997,-4.593521e-09,0.0,4127569.6
-1.6999999999999988,-1.69997,-4.445798e-09,0.0,4128442.56
-1.6999999999999988,-1.69997,-4.454374e-09,0.0,4128493.44
-1.6999999999999988,-1.69997,-4.469769e-09,0.0,4132253.44
-1.6999999999999988,-1.69997,-4.776621e-09,0.0,4131868.64
-1.6999999999999988,-1.69997,-4.404296e-09,0.0,4126708.32
-1.5999999999999988,-1.599984,-4.456447e-09,0.0,3896312.8
-1.5999999999999988,-1.599984,-4.421219e-09,0.0,3895700.96
