V,V_in,I_in,I_sps,V_sps
-3.0,-2.999837,-5.062174e-09,0.0,7554400.0
-3.0,-2.99984,-5.06807e-09,0.0,7552656.0
-3.0,-2.999832,-5.086527e-09,0.0,7554432.0
-3.0,-2.999835,-4.997925e-09,0.0,7554064.0
-3.0,-2.99983,-5.120219e-09,0.0,7554336.0
-3.0,-2.999842,-5.041193e-09,0.0,7553296.0
-3.0,-2.999839,-4.972196e-09,0.0,7554288.0
-3.0,-2.999834,-5.045634e-09,0.0,7554320.0
-3.0,-2.99984,-5.048542e-09,0.0,7555984.0
-3.0,-2.99984,-5.044483e-09,0.0,7555408.0
-2.9,-2.900049,-4.691847e-09,0.0,7269936.0
-2.9,-2.900051,-4.91691e-09,0.0,7270064.0
-2.9,-2.900049,-4.91683e-09,0.0,7269248.0
-2.9,-2.900055,-4.968517e-09,0.0,7269840.0
-2.9,-2.900051,-4.986518e-09,0.0,7269888.0
-2.9,-2.900039,-4.985062e-09,0.0,7270112.0
-2.9,-2.900048,-5.041497e-09,0.0,7270128.0
-2.9,-2.900051,-5.007501e-09,0.0,7269920.0
-2.9,-2.900048,-5.008799e-09,0.0,7270176.0
-2.9,-2.900046,-4.962932e-09,0.0,7269728.0
-2.8,-2.799912,-4.776619e-09,0.0,6983200.0
-2.8,-2.799911,-4.893553e-09,0.0,6979792.0
-2.8,-2.799914,-4.889801e-09,0.0,6980576.0
-2.8,-2.799938,-4.893398e-09,0.0,6980832.0
-2.8,-2.799912,-4.891639e-09,0.0,6979760.0
-2.8,-2.799911,-4.888191e-09,0.0,6980816.0
-2.8,-2.799916,-5.138596e-09,0.0,6984608.0
-2.8,-2.799913,-4.888578e-09,0.0,6980992.0
-2.8,-2.799918,-5.043031e-09,0.0,6983072.0
-2.8,-2.79991,-4.937814e-09,0.0,6979776.0
-2.6999999999999997,-2.699777,-4.863225e-09,0.0,6677600.0
-2.6999999999999997,-2.699783,-4.836958e-09,0.0,6678256.0
-2.6999999999999997,-2.699772,-4.963773e-09,0.0,6682752.0
-2.6999999999999997,-2.699765,-4.834971e-09,0.0,6677616.0
-2.6999999999999997,-2.699775,-4.817972e-09,0.0,6682784.0
-2.6999999999999997,-2.69978,-4.854497e-09,0.0,6681568.0
-2.6999999999999997,-2.699782,-4.84661e-09,0.0,6678208.0
-2.6999999999999997,-2.699779,-4.844237e-09,0.0,6675792.0
-2.6999999999999997,-2.699778,-4.847913e-09,0.0,6678112.0
-2.6999999999999997,-2.699774,-4.864759e-09,0.0,6680336.0
-2.5999999999999996,-2.600003,-4.806024e-09,0.0,6252416.0
