V,V_in,I_in,I_sps,V_sps
-3.0,-2.999766,-5.121657e-09,0.0,7554558.0
-3.0,-2.999762,-5.119282e-09,0.0,7553912.0
-3.0,-2.999769,-5.126098e-09,0.0,7556035.0
-3.0,-2.999767,-5.032359e-09,0.0,7555357.0
-3.0,-2.999763,-5.195016e-09,0.0,7554849.0
-3.0,-2.999768,-5.097684e-09,0.0,7555848.0
-3.0,-2.999766,-5.070345e-09,0.0,7555281.0
-3.0,-2.999763,-5.121883e-09,0.0,7554859.0
-3.0,-2.999784,-5.124871e-09,0.0,7555629.0
-3.0,-2.999773,-5.108022e-09,0.0,7553691.0
-2.9,-2.899986,-5.065058e-09,0.0,7271034.0
-2.9,-2.899976,-5.045144e-09,0.0,7271119.0
-2.9,-2.899976,-5.121347e-09,0.0,7270833.0
-2.9,-2.899982,-5.168979e-09,0.0,7271296.0
-2.9,-2.899974,-5.047597e-09,0.0,7271246.0
-2.9,-2.899966,-4.951716e-09,0.0,7271262.0
-2.9,-2.899977,-5.060773e-09,0.0,7271249.0
-2.9,-2.899976,-4.975459e-09,0.0,7272063.0
-2.9,-2.899963,-5.053112e-09,0.0,7271439.0
-2.9,-2.899974,-5.027994e-09,0.0,7271264.0
-2.8,-2.799835,-5.005857e-09,0.0,6984671.0
-2.8,-2.799843,-4.99935e-09,0.0,6982395.0
-2.8,-2.799845,-4.9897e-09,0.0,6986928.0
-2.8,-2.799842,-4.997973e-09,0.0,6981358.0
-2.8,-2.799845,-4.997513e-09,0.0,6981128.0
-2.8,-2.799846,-5.066738e-09,0.0,6981960.0
-2.8,-2.799845,-4.999808e-09,0.0,6981969.0
-2.8,-2.799838,-4.945364e-09,0.0,6981674.0
-2.8,-2.799854,-4.985184e-09,0.0,6981172.0
-2.8,-2.799843,-4.950801e-09,0.0,6984945.0
-2.6999999999999997,-2.699705,-4.925297e-09,0.0,6682537.0
-2.6999999999999997,-2.699707,-4.911966e-09,0.0,6683619.0
-2.6999999999999997,-2.6997,-4.97316e-09,0.0,6681108.0
-2.6999999999999997,-2.699705,-4.900254e-09,0.0,6682133.0
-2.6999999999999997,-2.699696,-4.863494e-09,0.0,6680887.0
-2.6999999999999997,-2.699703,-4.947813e-09,0.0,6688202.0
-2.6999999999999997,-2.699694,-4.851778e-09,0.0,6684793.0
-2.6999999999999997,-2.699701,-4.976602e-09,0.0,6682823.0
