V,V_in,I_in,I_sps,V_sps
0.0,-3.351655e-06,-4.178036e-09,0.0,16741834.0
0.0,-3.899135e-06,-4.197406e-09,0.0,16741532.0
0.0,-3.625413e-06,-4.259971e-09,0.0,16742154.0
0.0,-2.393412e-06,-4.187761e-09,0.0,16741824.0
0.0,-3.488538e-06,-4.530748e-09,0.0,16743164.0
0.0,-3.488523e-06,-4.241128e-09,0.0,16742619.0
0.0,-3.625479e-06,-4.272446e-09,0.0,16742126.0
0.0,-3.488494e-06,-3.843165e-09,0.0,16741518.0
0.0,-1.845823e-06,-4.163788e-09,0.0,16742484.0
0.0,-2.393397e-06,-4.226126e-09,0.0,16741254.0
0.1,0.09999518,-4.444368e-09,0.0,16492812.0
0.1,0.09999744,-4.2347e-09,0.0,16492519.0
0.1,0.0999967,-4.218541e-09,0.0,16494170.0
0.1,0.09999702,-4.185233e-09,0.0,16493545.0
0.1,0.0999973,-4.213337e-09,0.0,16494017.0
0.1,0.09999696,-4.195877e-09,0.0,16491859.0
0.1,0.09999727,-4.227886e-09,0.0,16492847.0
0.1,0.09999684,-4.209812e-09,0.0,16492232.0
0.1,0.0999964,-4.218315e-09,0.0,16492359.0
0.1,0.09999698,-4.220917e-09,0.0,16493542.0
0.2,0.2000016,-4.203994e-09,0.0,16238606.0
0.2,0.1999999,-4.201693e-09,0.0,16246599.0
0.2,0.1999992,-4.189824e-09,0.0,16242939.0
0.2,0.1999995,-4.20131e-09,0.0,16243406.0
0.2,0.1999995,-4.091425e-09,0.0,16244012.0
0.2,0.2000017,-4.249785e-09,0.0,16244524.0
0.2,0.1999992,-3.85572e-09,0.0,16241688.0
0.2,0.1999993,-4.220917e-09,0.0,16242660.0
0.2,0.2000003,-4.186609e-09,0.0,16242750.0
0.2,0.2000011,-4.201767e-09,0.0,16244634.0
0.30000000000000004,0.299993,-4.151308e-09,0.0,15989238.0
0.30000000000000004,0.2999932,-4.184079e-09,0.0,15993294.0
0.30000000000000004,0.2999933,-4.138442e-09,0.0,15986940.0
0.30000000000000004,0.2999929,-4.209887e-09,0.0,15989842.0
0.30000000000000004,0.2999922,-4.209886e-09,0.0,15992191.0
0.30000000000000004,0.2999924,-4.234087e-09,0.0,15993133.0
0.30000000000000004,0.2999935,-4.211265e-09,0.0,15999416.0
0.30000000000000004,0.2999929,-4.20399e-09,0.0,15991754.0
0.30000000000000004,0.2999926,-4.184691e-09,0.0,15990866.0
0.30000000000000004,0.2999929,-4.216167e-09,0.0,15991055.0
0.4,0.3999826,-4.261423e-09,0.0,15739285.0
0.4,0.3999825,-4.521707e-09,0.0,15738843.0
0.4,0.3999828,-3.839715e-09,0.0,15742918.0
0.4,0.399983,-4.223285e-09,0.0,15738448.0
0.4,0.3999828,-4.121593e-09,0.0,15740306.0
0.4,0.3999814,-4.322686e-09,0.0,15738378.0
0.4,0.3999823,-4.238911e-09,0.0,15747879.0
0.4,0.399982,-4.173974e-09,0.0,15739449.0
0.4,0.3999824,-4.169837e-09,0.0,15739303.0
