V,V_in,I_in,I_sps,V_sps
0.0,-3.077694e-06,-4.379061e-09,0.0,-37432.0
0.0,-3.351459e-06,-4.09963e-09,0.0,-34978.0
0.0,-3.077723e-06,-4.125513e-09,0.0,-34789.0
0.0,-2.940775e-06,-4.103689e-09,0.0,-34534.0
0.0,-3.899047e-06,-4.176513e-09,0.0,-34129.0
0.0,-4.720328e-06,-4.098863e-09,0.0,-33445.0
0.0,-3.077686e-06,-4.087837e-09,0.0,-34441.0
0.0,-3.351444e-06,-4.120767e-09,0.0,-35521.0
0.0,-3.488312e-06,-4.133554e-09,0.0,-33704.0
0.0,-3.214554e-06,-4.595311e-09,0.0,-34246.0
0.1,0.09999683,-4.143046e-09,0.0,-285651.0
0.1,0.0999966,-3.787267e-09,0.0,-285214.0
0.1,0.09999683,-4.264498e-09,0.0,-284529.0
0.1,0.0999964,-4.1249e-09,0.0,-285288.0
0.1,0.099996,-4.104682e-09,0.0,-283713.0
0.1,0.09999639,-4.134395e-09,0.0,-284219.0
0.1,0.09999645,-4.1177e-09,0.0,-284737.0
0.1,0.09999637,-4.133477e-09,0.0,-283970.0
0.1,0.09999728,-4.112799e-09,0.0,-284175.0
0.1,0.0999965,-4.137607e-09,0.0,-282036.0
0.2,0.1999993,-4.12689e-09,0.0,-535074.0
0.2,0.1999996,-4.023511e-09,0.0,-534074.0
0.2,0.1999995,-4.0425e-09,0.0,-534430.0
0.2,0.2000001,-4.109583e-09,0.0,-535585.0
0.2,0.199999,-4.126583e-09,0.0,-536212.0
0.2,0.1999997,-4.131179e-09,0.0,-535846.0
0.2,0.1999992,-4.102615e-09,0.0,-536092.0
0.2,0.1999992,-4.110881e-09,0.0,-535221.0
0.2,0.1999998,-4.126432e-09,0.0,-531295.0
0.2,0.1999999,-4.561542e-09,0.0,-533767.0
0.30000000000000004,0.2999921,-4.134624e-09,0.0,-784544.0
0.30000000000000004,0.2999921,-4.088138e-09,0.0,-785125.0
0.30000000000000004,0.2999924,-4.104607e-09,0.0,-778992.0
0.30000000000000004,0.2999917,-4.057052e-09,0.0,-785325.0
0.30000000000000004,0.2999925,-4.137151e-09,0.0,-790730.0
0.30000000000000004,0.299993,-4.093657e-09,0.0,-768058.0
0.30000000000000004,0.2999924,-4.025961e-09,0.0,-801547.0
0.30000000000000004,0.2999925,-3.632736e-09,0.0,-791138.0
0.30000000000000004,0.2999921,-4.118619e-09,0.0,-784276.0
0.30000000000000004,0.2999924,-4.110349e-09,0.0,-789289.0
0.4,0.3999828,-4.107669e-09,0.0,-1037902.0
0.4,0.3999827,-4.111723e-09,0.0,-1038004.0
0.4,0.3999827,-4.119232e-09,0.0,-1038489.0
0.4,0.3999821,-4.110427e-09,0.0,-1038039.0
0.4,0.3999828,-4.097711e-09,0.0,-1038492.0
0.4,0.3999822,-4.117927e-09,0.0,-1039188.0
0.4,0.3999824,-4.111728e-09,0.0,-1038794.0
0.4,0.3999829,-4.104455e-09,0.0,-1038909.0
0.4,0.3999831,-4.107746e-09,0.0,-1037753.0
0.4,0.3999823,-4.118772e-09,0.0,-1038160.0
0.5,0.5000005,-4.139524e-09,0.0,-1312137.0
0.5,0.5000021,-4.137688e-09,0.0,-1307834.0
0.5,0.5000021,-4.136842e-09,0.0,-1292593.0
0.5,0.5000018,-4.086607e-09,0.0,-1316114.0
0.5,0.5000023,-4.025424e-09,0.0,-1294028.0
0.5,0.5000025,-4.125357e-09,0.0,-1303075.0
0.5,0.5000031,-4.139062e-09,0.0,-1304700.0
0.5,0.5000026,-4.148942e-09,0.0,-1294153.0
0.5,0.5000029,-4.135698e-09,0.0,-1293913.0
0.5,0.5000014,-4.493846e-09,0.0,-1293721.0
0.6,0.5999886,-4.124897e-09,0.0,-1554373.0
0.6,0.5999867,-4.090356e-09,0.0,-1554022.0
0.6,0.5999879,-4.134394e-09,0.0,-1554240.0
0.6,0.5999871,-4.117163e-09,0.0,-1566360.0
0.6,0.5999886,-4.094568e-09,0.0,-1555869.0
0.6,0.5999886,-4.111649e-09,0.0,-1553654.0
0.6,0.5999895,-4.129108e-09,0.0,-1553356.0
0.6,0.5999896,-4.084159e-09,0.0,-1555469.0
0.6,0.5999892,-4.103224e-09,0.0,-1552191.0
0.6,0.5999892,-4.141745e-09,0.0,-1553371.0
0.7,0.6999645,-4.096713e-09,0.0,-1812771.0
0.7,0.699964,-4.118306e-09,0.0,-1813854.0
0.7,0.6999656,-4.126274e-09,0.0,-1812170.0
0.7,0.699965,-4.141134e-09,0.0,-1813742.0
0.7,0.6999652,-4.123749e-09,0.0,-1814842.0
0.7,0.6999654,-4.138903e-09,0.0,-1813338.0
0.7,0.6999647,-4.127348e-09,0.0,-1810796.0
0.7,0.6999651,-3.957571e-09,0.0,-1811852.0
0.7,0.6999649,-4.138373e-09,0.0,-1812061.0
0.7,0.6999665,-5.087692e-10,0.0,-1812178.0
0.7999999999999999,0.7999815,-4.243973e-09,0.0,-2092978.0
0.7999999999999999,0.7999813,-4.309982e-09,0.0,-2095603.0
0.7999999999999999,0.7999802,-4.236388e-09,0.0,-2092456.0
0.7999999999999999,0.7999817,-4.084693e-09,0.0,-2092216.0
0.7999999999999999,0.7999819,-4.233714e-09,0.0,-2087991.0
0.7999999999999999,0.7999823,-4.202773e-09,0.0,-2093203.0
0.7999999999999999,0.7999813,-4.233177e-09,0.0,-2086470.0
