V,V_in,I_in,I_sps,V_sps
-3.3,-3.299788,-4.94145e-08,0.0,8320543.0
-3.3,-3.29979,-4.906071e-08,0.0,8320561.0
-3.3,-3.299792,-4.896699e-08,0.0,8320479.0
-3.3,-3.299785,-4.92359e-08,0.0,8320480.0
-3.3,-3.299795,-4.906392e-08,0.0,8320654.0
-3.3,-3.299788,-4.900276e-08,0.0,8320543.0
-3.3,-3.299788,-4.910289e-08,0.0,8320666.0
-3.3,-3.29979,-4.960733e-08,0.0,8320654.0
-3.3,-3.299784,-4.901349e-08,0.0,8320582.0
-3.3,-3.299791,-4.907358e-08,0.0,8320805.0
-3.1999999999999997,-3.200002,-8.851293e-09,0.0,8125862.0
-3.1999999999999997,-3.199996,-8.529354e-09,0.0,8125941.0
-3.1999999999999997,-3.199998,-8.717209e-09,0.0,8125928.0
-3.1999999999999997,-3.200002,-8.880165e-09,0.0,8125911.0
-3.1999999999999997,-3.199991,-8.689794e-09,0.0,8126058.0
-3.1999999999999997,-3.199986,-8.675776e-09,0.0,8125954.0
-3.1999999999999997,-3.199986,-8.706799e-09,0.0,8125958.0
-3.1999999999999997,-3.199991,-8.663378e-09,0.0,8125939.0
-3.1999999999999997,-3.199994,-8.684281e-09,0.0,8125962.0
-3.1999999999999997,-3.20001,-8.685732e-09,0.0,8125960.0
-3.0999999999999996,-3.099925,-5.119586e-09,0.0,7871739.0
-3.0999999999999996,-3.099916,-5.110786e-09,0.0,7871709.0
-3.0999999999999996,-3.099927,-5.281624e-09,0.0,7871709.0
-3.0999999999999996,-3.099916,-5.000512e-09,0.0,7871800.0
-3.0999999999999996,-3.09992,-5.138121e-09,0.0,7871678.0
-3.0999999999999996,-3.099916,-5.133374e-09,0.0,7871705.0
-3.0999999999999996,-3.099924,-5.133679e-09,0.0,7871754.0
-3.0999999999999996,-3.099908,-5.146998e-09,0.0,7871797.0
-3.0999999999999996,-3.099917,-5.16163e-09,0.0,7871690.0
-3.0999999999999996,-3.099919,-5.144706e-09,0.0,7871659.0
-2.9999999999999996,-2.999804,-5.007939e-09,0.0,7617421.0
-2.9999999999999996,-2.999798,-4.913976e-09,0.0,7617397.0
-2.9999999999999996,-2.999807,-4.902875e-09,0.0,7617310.0
-2.9999999999999996,-2.99981,-4.68103e-09,0.0,7617443.0
-2.9999999999999996,-2.999806,-4.899892e-09,0.0,7617480.0
-2.9999999999999996,-2.999809,-4.893224e-09,0.0,7617416.0
-2.9999999999999996,-2.99981,-4.91436e-09,0.0,7617434.0
-2.9999999999999996,-2.999799,-4.902188e-09,0.0,7617471.0
-2.9999999999999996,-2.9998,-4.901263e-09,0.0,7617389.0
-2.9999999999999996,-2.999802,-4.900119e-09,0.0,7617290.0
-2.8999999999999995,-2.900013,-4.819251e-09,0.0,7363892.0
-2.8999999999999995,-2.900007,-4.825225e-09,0.0,7363943.0
-2.8999999999999995,-2.900012,-4.824613e-09,0.0,7363806.0
-2.8999999999999995,-2.900007,-4.818411e-09,0.0,7363910.0
-2.8999999999999995,-2.900009,-4.813279e-09,0.0,7363864.0
-2.8999999999999995,-2.900028,-4.765879e-09,0.0,7363869.0
-2.8999999999999995,-2.900012,-4.820861e-09,0.0,7363906.0
-2.8999999999999995,-2.899998,-4.81864e-09,0.0,7364003.0
-2.8999999999999995,-2.900006,-4.803473e-09,0.0,7363911.0
-2.8999999999999995,-2.899999,-4.804165e-09,0.0,7363830.0
-2.7999999999999994,-2.799877,-4.768407e-09,0.0,7109488.0
-2.7999999999999994,-2.79988,-4.742364e-09,0.0,7109555.0
-2.7999999999999994,-2.799865,-4.743598e-09,0.0,7109534.0
-2.7999999999999994,-2.799866,-4.731182e-09,0.0,7109424.0
-2.7999999999999994,-2.799881,-4.77147e-09,0.0,7109414.0
-2.7999999999999994,-2.799884,-4.755078e-09,0.0,7109527.0
-2.7999999999999994,-2.799877,-4.739068e-09,0.0,7109483.0
-2.7999999999999994,-2.799877,-4.768329e-09,0.0,7109511.0
-2.7999999999999994,-2.799879,-4.756536e-09,0.0,7109485.0
-2.7999999999999994,-2.799874,-4.733637e-09,0.0,7109530.0
-2.6999999999999993,-2.699735,-5.043698e-09,0.0,6854968.0
-2.6999999999999993,-2.699735,-4.571673e-09,0.0,6855156.0
-2.6999999999999993,-2.699734,-4.760057e-09,0.0,6854908.0
-2.6999999999999993,-2.699733,-4.744819e-09,0.0,6854936.0
-2.6999999999999993,-2.699739,-4.700251e-09,0.0,6855018.0
-2.6999999999999993,-2.699738,-4.717251e-09,0.0,6854922.0
