V,V_in,I_in,I_sps,V_sps
-3.0,-2.999814,-4.960614e-09,0.0,7617318.0
-3.0,-2.999797,-4.962298e-09,0.0,7617370.0
-3.0,-2.99981,-4.865355e-09,0.0,7617329.0
-3.0,-2.999803,-4.924705e-09,0.0,7617255.0
-3.0,-2.999811,-4.958553e-09,0.0,7617338.0
-3.0,-2.999814,-4.942317e-09,0.0,7617314.0
-3.0,-2.999811,-4.949894e-09,0.0,7617368.0
-3.0,-2.999811,-4.976467e-09,0.0,7617368.0
-3.0,-2.999821,-4.897445e-09,0.0,7617355.0
-3.0,-2.999811,-4.897826e-09,0.0,7617366.0
-2.9,-2.900007,-4.803942e-09,0.0,7363820.0
-2.9,-2.900017,-4.8034e-09,0.0,7363905.0
-2.9,-2.900016,-4.863976e-09,0.0,7363819.0
-2.9,-2.900007,-4.877836e-09,0.0,7363867.0
-2.9,-2.900012,-4.854631e-09,0.0,7363864.0
-2.9,-2.900015,-4.842994e-09,0.0,7363777.0
-2.9,-2.900013,-4.862673e-09,0.0,7363823.0
-2.9,-2.900013,-4.846822e-09,0.0,7363820.0
-2.9,-2.90001,-4.881741e-09,0.0,7363807.0
-2.9,-2.900028,-4.865279e-09,0.0,7363777.0
-2.8,-2.799893,-4.813975e-09,0.0,7109434.0
-2.8,-2.799881,-4.800801e-09,0.0,7109529.0
-2.8,-2.799878,-4.791534e-09,0.0,7109449.0
-2.8,-2.799878,-4.769939e-09,0.0,7109395.0
-2.8,-2.79988,-5.032144e-09,0.0,7109261.0
-2.8,-2.799882,-4.75432e-09,0.0,7109540.0
-2.8,-2.799882,-4.429784e-09,0.0,7109460.0
-2.8,-2.799875,-4.758838e-09,0.0,7109485.0
-2.8,-2.799897,-4.768637e-09,0.0,7109535.0
-2.8,-2.799879,-4.794673e-09,0.0,7109518.0
-2.6999999999999997,-2.699739,-4.744899e-09,0.0,6855070.0
-2.6999999999999997,-2.699742,-4.718781e-09,0.0,6855063.0
-2.6999999999999997,-2.699741,-4.36829e-09,0.0,6855053.0
-2.6999999999999997,-2.699741,-4.69704e-09,0.0,6855012.0
-2.6999999999999997,-2.699734,-4.695582e-09,0.0,6855026.0
-2.6999999999999997,-2.699738,-4.691985e-09,0.0,6855159.0
-2.6999999999999997,-2.699736,-5.014223e-09,0.0,6855114.0
-2.6999999999999997,-2.699749,-4.720395e-09,0.0,6855093.0
-2.6999999999999997,-2.699736,-4.376179e-09,0.0,6855058.0
-2.6999999999999997,-2.699736,-4.724222e-09,0.0,6854991.0
-2.5999999999999996,-2.599964,-4.737854e-09,0.0,6601599.0
-2.5999999999999996,-2.599959,-4.656753e-09,0.0,6601681.0
-2.5999999999999996,-2.599959,-4.638992e-09,0.0,6601581.0
-2.5999999999999996,-2.599962,-4.662348e-09,0.0,6601689.0
-2.5999999999999996,-2.599959,-4.642667e-09,0.0,6601654.0
-2.5999999999999996,-2.599961,-4.645268e-09,0.0,6601563.0
-2.5999999999999996,-2.599967,-4.686926e-09,0.0,6601731.0
-2.5999999999999996,-2.599962,-4.917961e-09,0.0,6601578.0
-2.5999999999999996,-2.599968,-4.684245e-09,0.0,6601480.0
-2.5999999999999996,-2.599966,-4.696657e-09,0.0,6601468.0
-2.4999999999999996,-2.499895,-4.595104e-09,0.0,6347355.0
-2.4999999999999996,-2.499896,-4.61663e-09,0.0,6347301.0
-2.4999999999999996,-2.499892,-4.662808e-09,0.0,6347287.0
-2.4999999999999996,-2.499896,-4.639452e-09,0.0,6347323.0
-2.4999999999999996,-2.499891,-4.611499e-09,0.0,6347354.0
-2.4999999999999996,-2.499895,-4.629034e-09,0.0,6347261.0
-2.4999999999999996,-2.499889,-4.60407e-09,0.0,6347345.0
-2.4999999999999996,-2.49989,-4.589447e-09,0.0,6347329.0
-2.4999999999999996,-2.499891,-4.640599e-09,0.0,6347355.0
-2.4999999999999996,-2.499889,-4.638609e-09,0.0,6347312.0
-2.3999999999999995,-2.399802,-4.590361e-09,0.0,6092972.0
-2.3999999999999995,-2.399803,-4.603534e-09,0.0,6093115.0
-2.3999999999999995,-2.3998,-4.586535e-09,0.0,6092960.0
-2.3999999999999995,-2.399796,-4.641058e-09,0.0,6092999.0
-2.3999999999999995,-2.399797,-4.581943e-09,0.0,6092965.0
-2.3999999999999995,-2.39979,-4.570225e-09,0.0,6093025.0
-2.3999999999999995,-2.399801,-4.573669e-09,0.0,6092925.0
-2.3999999999999995,-2.3998,-4.565781e-09,0.0,6093012.0
-2.3999999999999995,-2.399802,-4.582247e-09,0.0,6092951.0
-2.3999999999999995,-2.399806,-4.636159e-09,0.0,6092929.0
-2.2999999999999994,-2.300006,-4.531401e-09,0.0,5839537.0
-2.2999999999999994,-2.300005,-4.552228e-09,0.0,5839516.0
-2.2999999999999994,-2.300008,-4.520371e-09,0.0,5839562.0
-2.2999999999999994,-2.300022,-4.545108e-09,0.0,5839597.0
-2.2999999999999994,-2.300011,-4.51034e-09,0.0,5839576.0
-2.2999999999999994,-2.300007,-4.525271e-09,0.0,5839519.0
-2.2999999999999994,-2.300003,-4.533313e-09,0.0,5839547.0
-2.2999999999999994,-2.299996,-4.539285e-09,0.0,5839611.0
-2.2999999999999994,-2.300003,-4.503292e-09,0.0,5839483.0
-2.2999999999999994,-2.300014,-4.51371e-09,0.0,5839472.0
-2.1999999999999993,-2.199848,-4.480168e-09,0.0,5585025.0
