V,V_in,I_in,V_i,V_2x
0.1,0.1000054,-7.007237e-09,0.0,16720676.0
0.1,0.1000067,-7.018806e-09,0.0,16470835.0
0.1,0.1000067,-6.996592e-09,0.0,16471463.0
0.1,0.1000062,-6.982427e-09,0.0,16474249.0
0.1,0.1000059,-7.086728e-09,0.0,16471183.0
0.1,0.1000074,-6.957614e-09,0.0,16472980.0
0.1,0.1000079,-7.019644e-09,0.0,16472227.0
0.1,0.1000054,-7.011986e-09,0.0,16475019.0
0.1,0.1000071,-6.991085e-09,0.0,16471720.0
0.1,0.1000079,-7.022556e-09,0.0,16472834.0
0.15000000000000002,0.1500041,-7.019797e-09,0.0,16471596.0
0.15000000000000002,0.1500053,-6.9966e-09,0.0,16346980.0
0.15000000000000002,0.1500046,-6.988853e-09,0.0,16348991.0
0.15000000000000002,0.1500049,-6.991616e-09,0.0,16348352.0
0.15000000000000002,0.1500045,-6.975995e-09,0.0,16344412.0
0.15000000000000002,0.1500046,-7.008315e-09,0.0,16348079.0
0.15000000000000002,0.1500048,-7.007691e-09,0.0,16344843.0
0.15000000000000002,0.1500042,-7.012976e-09,0.0,16347682.0
0.15000000000000002,0.1500047,-7.034651e-09,0.0,16346077.0
0.15000000000000002,0.1500047,-6.986488e-09,0.0,16348340.0
0.2,0.200008,-6.975075e-09,0.0,16345125.0
0.2,0.2000104,-6.967107e-09,0.0,16223656.0
0.2,0.20001,-6.98571e-09,0.0,16221644.0
0.2,0.2000105,-6.995826e-09,0.0,16233049.0
0.2,0.2000111,-6.977063e-09,0.0,16214393.0
0.2,0.2000103,-7.002487e-09,0.0,16214549.0
0.2,0.2000107,-6.996279e-09,0.0,16189681.0
0.2,0.2000124,-6.987863e-09,0.0,16221919.0
0.2,0.2000108,-7.002337e-09,0.0,16223510.0
0.2,0.2000103,-7.008375e-09,0.0,16219798.0
0.25,0.2499944,-6.995446e-09,0.0,16220530.0
0.25,0.2499952,-7.024082e-09,0.0,16087710.0
0.25,0.2499956,-7.020561e-09,0.0,16095774.0
0.25,0.2499954,-6.912131e-09,0.0,16102675.0
0.25,0.2499954,-7.000572e-09,0.0,16101067.0
0.25,0.2499955,-6.992146e-09,0.0,16095092.0
0.25,0.2499952,-7.010299e-09,0.0,16095587.0
0.25,0.2499947,-7.019565e-09,0.0,16087710.0
0.25,0.2499956,-7.009384e-09,0.0,16093548.0
0.25,0.2499958,-7.014743e-09,0.0,16096392.0
0.3,0.3000029,-7.014658e-09,0.0,16096877.0
0.3,0.3000048,-7.002174e-09,0.0,15970708.0
0.3,0.3000045,-6.97653e-09,0.0,15971695.0
0.3,0.3000053,-7.000647e-09,0.0,15965518.0
0.3,0.3000051,-6.980653e-09,0.0,15968120.0
0.3,0.3000043,-6.983115e-09,0.0,15969541.0
0.3,0.3000052,-7.000417e-09,0.0,15969670.0
0.3,0.3000038,-6.981586e-09,0.0,15969087.0
0.3,0.3000053,-7.015421e-09,0.0,15972694.0
0.3,0.3000049,-6.98794e-09,0.0,15968474.0
0.35,0.3499835,-6.986409e-09,0.0,15973359.0
0.35,0.3499848,-7.011142e-09,0.0,15845653.0
0.35,0.3499845,-7.047291e-09,0.0,15843535.0
0.35,0.3499848,-7.027369e-09,0.0,15843751.0
0.35,0.3499851,-7.017795e-09,0.0,15844502.0
0.35,0.3499846,-7.010914e-09,0.0,15843813.0
0.35,0.3499857,-7.000493e-09,0.0,15843577.0
0.35,0.3499853,-6.985646e-09,0.0,15845909.0
0.35,0.3499851,-6.981966e-09,0.0,15845520.0
0.35,0.3499849,-6.977905e-09,0.0,15846814.0
0.39999999999999997,0.3999948,-7.009534e-09,0.0,15845445.0
0.39999999999999997,0.3999969,-6.95884e-09,0.0,15716698.0
0.39999999999999997,0.3999964,-6.987626e-09,0.0,15718774.0
0.39999999999999997,0.3999957,-6.983881e-09,0.0,15716800.0
0.39999999999999997,0.3999965,-6.981963e-09,0.0,15713236.0
0.39999999999999997,0.3999968,-7.010379e-09,0.0,15717613.0
0.39999999999999997,0.3999964,-6.969407e-09,0.0,15716939.0
0.39999999999999997,0.3999952,-6.988393e-09,0.0,15718020.0
0.39999999999999997,0.3999962,-6.997354e-09,0.0,15716082.0
0.39999999999999997,0.3999959,-6.981731e-09,0.0,15715887.0
0.44999999999999996,0.4500026,-6.997511e-09,0.0,15717840.0
0.44999999999999996,0.4500045,-6.992835e-09,0.0,15584936.0
0.44999999999999996,0.450004,-6.976983e-09,0.0,15585426.0
0.44999999999999996,0.4500038,-6.977447e-09,0.0,15584273.0
0.44999999999999996,0.450004,-6.988244e-09,0.0,15585043.0
0.44999999999999996,0.4500049,-6.996058e-09,0.0,15586417.0
0.44999999999999996,0.4500048,-7.009067e-09,0.0,15584844.0
0.44999999999999996,0.4500045,-6.990311e-09,0.0,15585154.0
0.44999999999999996,0.4500034,-6.990314e-09,0.0,15585274.0
0.44999999999999996,0.4500047,-6.995134e-09,0.0,15585640.0
0.49999999999999994,0.5000125,-7.011979e-09,0.0,15583906.0
0.49999999999999994,0.5000149,-6.983571e-09,0.0,15449569.0
0.49999999999999994,0.5000152,-6.95363e-09,0.0,15451327.0
0.49999999999999994,0.5000151,-6.971393e-09,0.0,15449998.0
0.49999999999999994,0.5000147,-6.979438e-09,0.0,15452047.0
0.49999999999999994,0.5000147,-6.963741e-09,0.0,15450216.0
0.49999999999999994,0.5000146,-6.989157e-09,0.0,15451545.0
0.49999999999999994,0.5000156,-6.981733e-09,0.0,15449737.0
