V,V_in,I_in,V_i,V_2x
0.1,0.1000066,-7.044749e-09,16722209.0,10.0
0.1,0.1000068,-7.022469e-09,2337899.0,10.0
0.1,0.1000071,-7.064051e-09,2333382.0,10.0
0.1,0.1000072,-7.011446e-09,2337390.0,10.0
0.1,0.1000071,-7.028447e-09,2337620.0,10.0
0.1,0.100007,-6.977293e-09,2337565.0,10.0
0.1,0.1000055,-7.130832e-09,2333009.0,10.0
0.1,0.100008,-7.214992e-09,2337727.0,10.0
0.1,0.1000068,-7.105562e-09,2332837.0,10.0
0.1,0.1000063,-7.025689e-09,2338860.0,10.0
0.15000000000000002,0.1500034,-7.021171e-09,2330199.0,10.0
0.15000000000000002,0.1500045,-7.070026e-09,2328070.0,10.0
0.15000000000000002,0.1500056,-7.056774e-09,2331616.0,10.0
0.15000000000000002,0.1500051,-7.035037e-09,2330212.0,10.0
0.15000000000000002,0.1500046,-7.029208e-09,2328777.0,10.0
0.15000000000000002,0.1500054,-7.031431e-09,2334172.0,10.0
0.15000000000000002,0.1500039,-6.999961e-09,2343582.0,10.0
0.15000000000000002,0.1500053,-6.991074e-09,2348307.0,10.0
0.15000000000000002,0.150005,-7.012363e-09,2342021.0,10.0
0.15000000000000002,0.150005,-7.021784e-09,2337695.0,10.0
0.2,0.2000094,-7.041849e-09,2333250.0,10.0
0.2,0.2000105,-7.034721e-09,2336296.0,10.0
0.2,0.2000103,-7.044445e-09,2337616.0,10.0
0.2,0.2000105,-7.049345e-09,2333424.0,10.0
0.2,0.2000107,-7.058378e-09,2328932.0,10.0
0.2,0.2000102,-7.022548e-09,2342319.0,10.0
0.2,0.2000085,-7.035264e-09,2341186.0,10.0
0.2,0.2000098,-7.032042e-09,2328632.0,10.0
0.2,0.2000105,-7.029366e-09,2336569.0,10.0
0.2,0.2000107,-7.018489e-09,2335654.0,10.0
0.25,0.2499944,-7.03794e-09,2334293.0,10.0
0.25,0.2499963,-7.0469e-09,2333700.0,10.0
0.25,0.2499965,-7.048812e-09,2338460.0,10.0
0.25,0.2499949,-7.031582e-09,2334149.0,10.0
0.25,0.2499954,-7.036102e-09,2332431.0,10.0
0.25,0.2499963,-7.042835e-09,2337377.0,10.0
0.25,0.2499942,-7.030431e-09,2339933.0,10.0
0.25,0.2499952,-7.039466e-09,2340848.0,10.0
0.25,0.2499952,-7.027604e-09,2342582.0,10.0
0.25,0.2499955,-7.030821e-09,2331835.0,10.0
0.3,0.3000029,-7.009835e-09,2336302.0,10.0
0.3,0.300004,-7.009914e-09,2342509.0,10.0
0.3,0.3000042,-7.012972e-09,2334424.0,10.0
0.3,0.3000045,-7.021936e-09,2333804.0,10.0
0.3,0.3000047,-7.010985e-09,2333973.0,10.0
0.3,0.3000043,-7.019258e-09,2336842.0,10.0
0.3,0.3000039,-7.056315e-09,2341744.0,10.0
0.3,0.3000057,-7.021169e-09,2331667.0,10.0
0.3,0.3000038,-7.026912e-09,2333213.0,10.0
0.3,0.3000048,-7.028135e-09,2337981.0,10.0
0.35,0.3499826,-7.032959e-09,2330922.0,10.0
0.35,0.3499835,-6.988546e-09,2338043.0,10.0
0.35,0.3499825,-7.008457e-09,2339859.0,10.0
0.35,0.3499835,-7.017944e-09,2340076.0,10.0
0.35,0.3499842,-7.017645e-09,2344218.0,10.0
0.35,0.3499831,-7.043602e-09,2339202.0,10.0
0.35,0.3499842,-7.025453e-09,2338931.0,10.0
0.35,0.3499831,-7.030051e-09,2341159.0,10.0
0.35,0.349984,-7.021322e-09,2338794.0,10.0
0.35,0.3499834,-7.024767e-09,2333403.0,10.0
0.39999999999999997,0.3999948,-7.000487e-09,2337367.0,10.0
0.39999999999999997,0.3999959,-7.002632e-09,2325554.0,10.0
0.39999999999999997,0.3999959,-7.011593e-09,2326636.0,10.0
0.39999999999999997,0.3999954,-6.976904e-09,2329956.0,10.0
0.39999999999999997,0.3999942,-6.980879e-09,2325835.0,10.0
0.39999999999999997,0.3999948,-6.972992e-09,2326902.0,10.0
0.39999999999999997,0.3999953,-6.986405e-09,2336216.0,10.0
0.39999999999999997,0.3999969,-7.540057e-09,2337621.0,10.0
0.39999999999999997,0.3999949,-7.071558e-09,2331346.0,10.0
0.39999999999999997,0.3999953,-7.018406e-09,2326856.0,10.0
0.44999999999999996,0.4500024,-7.057464e-09,2334375.0,10.0
0.44999999999999996,0.4500039,-7.079902e-09,2332638.0,10.0
0.44999999999999996,0.4500045,-7.031427e-09,2330484.0,10.0
0.44999999999999996,0.4500037,-7.091994e-09,2336183.0,10.0
0.44999999999999996,0.4500032,-7.064125e-09,2330361.0,10.0
0.44999999999999996,0.4500033,-7.019711e-09,2333761.0,10.0
0.44999999999999996,0.4500034,-7.029976e-09,2334690.0,10.0
0.44999999999999996,0.4500055,-7.124395e-09,2328810.0,10.0
0.44999999999999996,0.4500031,-7.013202e-09,2327587.0,10.0
0.44999999999999996,0.4500043,-7.04084e-09,2336941.0,10.0
0.49999999999999994,0.5000125,-7.002481e-09,2339623.0,10.0
0.49999999999999994,0.5000148,-7.010593e-09,2336777.0,10.0
0.49999999999999994,0.5000145,-7.073082e-09,2335039.0,10.0
0.49999999999999994,0.5000145,-7.049417e-09,2329347.0,10.0
0.49999999999999994,0.5000143,-7.037093e-09,2330979.0,10.0
0.49999999999999994,0.5000141,-7.095906e-09,2328527.0,10.0
0.49999999999999994,0.5000123,-7.025912e-09,2327552.0,10.0
0.49999999999999994,0.5000141,-7.03648e-09,2326415.0,10.0
0.49999999999999994,0.5000135,-7.024835e-09,2325989.0,10.0
0.49999999999999994,0.5000134,-7.021932e-09,2326507.0,10.0
0.5499999999999999,0.5499883,-7.042527e-09,2330863.0,10.0
0.5499999999999999,0.5499895,-7.098198e-09,2329206.0,10.0
0.5499999999999999,0.5499895,-7.037548e-09,2332256.0,10.0
0.5499999999999999,0.5499893,-7.064194e-09,2330526.0,10.0
0.5499999999999999,0.5499896,-7.07262e-09,2336696.0,10.0
0.5499999999999999,0.5499895,-7.072853e-09,2331804.0,10.0
0.5499999999999999,0.5499883,-7.08335e-09,2323794.0,10.0
0.5499999999999999,0.549989,-7.028286e-09,2326127.0,10.0
0.5499999999999999,0.5499892,-7.079134e-09,2327765.0,10.0
0.5499999999999999,0.54999,-7.046588e-09,2303217.0,10.0
0.6,0.5999998,-7.00547e-09,2296838.0,10.0
0.6,0.6000007,-6.990678e-09,2299784.0,10.0
0.6,0.6000009,-7.017023e-09,2296929.0,10.0
0.6,0.6000004,-7.002556e-09,2298181.0,10.0
0.6,0.600001,-7.01213e-09,2301499.0,10.0
0.6,0.6000016,-7.033409e-09,2293633.0,10.0
0.6,0.5999984,-7.009907e-09,2292480.0,10.0
0.6,0.6000007,-7.021853e-09,2298193.0,10.0
0.6,0.6000009,-7.014735e-09,2303265.0,10.0
0.6,0.600001,-7.034259e-09,2305967.0,10.0
0.65,0.650009,-7.03196e-09,2307214.0,10.0
0.65,0.6500098,-7.12952e-09,2299972.0,10.0
0.65,0.6500099,-7.018869e-09,2300445.0,10.0
0.65,0.6500099,-7.076907e-09,2297802.0,10.0
0.65,0.6500098,-6.989071e-09,2306848.0,10.0
0.65,0.650011,-6.9939e-09,2305567.0,10.0
0.65,0.6500089,-7.025531e-09,2313002.0,10.0
0.65,0.6500093,-6.996356e-09,2309541.0,10.0
0.65,0.6500099,-6.996966e-09,2306565.0,10.0
0.65,0.6500095,-7.005004e-09,2312691.0,10.0
0.7000000000000001,0.6999778,-7.017642e-09,2305145.0,10.0
0.7000000000000001,0.6999774,-7.048573e-09,2299928.0,10.0
0.7000000000000001,0.6999765,-7.026138e-09,2302529.0,10.0
0.7000000000000001,0.6999782,-7.005926e-09,2295946.0,10.0
0.7000000000000001,0.6999782,-7.024826e-09,2307614.0,10.0
0.7000000000000001,0.6999795,-7.010671e-09,2304069.0,10.0
0.7000000000000001,0.6999771,-7.148894e-09,2296722.0,10.0
0.7000000000000001,0.6999779,-7.001177e-09,2294160.0,10.0
0.7000000000000001,0.6999775,-6.980348e-09,2293618.0,10.0
0.7000000000000001,0.6999782,-6.983181e-09,2300510.0,10.0
0.7500000000000001,0.74999,-7.012734e-09,2299186.0,10.0
0.7500000000000001,0.7499909,-7.030045e-09,2305955.0,10.0
0.7500000000000001,0.7499909,-7.011586e-09,2310774.0,10.0
0.7500000000000001,0.7499898,-7.006227e-09,2307973.0,10.0
0.7500000000000001,0.7499897,-7.014808e-09,2307208.0,10.0
0.7500000000000001,0.7499923,-7.02346e-09,2296098.0,10.0
0.7500000000000001,0.7499908,-7.037852e-09,2300197.0,10.0
0.7500000000000001,0.7499904,-7.029051e-09,2306241.0,10.0
0.7500000000000001,0.7499896,-7.017636e-09,2297435.0,10.0
0.7500000000000001,0.7499894,-7.00722e-09,2299505.0,10.0
0.8000000000000002,0.7999942,-6.980729e-09,2302619.0,10.0
0.8000000000000002,0.7999939,-6.96036e-09,2299090.0,10.0
0.8000000000000002,0.7999949,-7.19484e-09,2307823.0,10.0
0.8000000000000002,0.7999961,-6.999946e-09,2302464.0,10.0
0.8000000000000002,0.7999943,-6.994511e-09,2299353.0,10.0
0.8000000000000002,0.799993,-7.012738e-09,2301173.0,10.0
0.8000000000000002,0.7999944,-7.012507e-09,2298125.0,10.0
0.8000000000000002,0.799994,-7.028434e-09,2304912.0,10.0
0.8000000000000002,0.7999956,-7.033797e-09,2310732.0,10.0
0.8000000000000002,0.7999948,-7.024837e-09,2300777.0,10.0
0.8500000000000002,0.8499712,-6.956685e-09,2293952.0,10.0
0.8500000000000002,0.8499705,-6.969702e-09,2298840.0,10.0
0.8500000000000002,0.8499721,-6.959743e-09,2303971.0,10.0
0.8500000000000002,0.849972,-6.960426e-09,2307154.0,10.0
0.8500000000000002,0.8499724,-6.942207e-09,2303655.0,10.0
0.8500000000000002,0.8499714,-6.979043e-09,2303741.0,10.0
0.8500000000000002,0.8499724,-6.96526e-09,2301509.0,10.0
0.8500000000000002,0.8499724,-6.995736e-09,2302880.0,10.0
0.8500000000000002,0.849973,-6.99704e-09,2297726.0,10.0
0.8500000000000002,0.8499722,-6.999562e-09,2309183.0,10.0
0.9000000000000002,0.8999841,-7.004387e-09,2307107.0,10.0
0.9000000000000002,0.899984,-7.007989e-09,2299123.0,10.0
0.9000000000000002,0.8999844,-7.027594e-09,2300483.0,10.0
0.9000000000000002,0.8999851,-6.976821e-09,2301200.0,10.0
0.9000000000000002,0.8999848,-6.972686e-09,2299219.0,10.0
0.9000000000000002,0.8999829,-6.985707e-09,2303553.0,10.0
0.9000000000000002,0.8999843,-6.96893e-09,2303977.0,10.0
