V,V_in,I_in,V_i,V_2x
0.1,0.1000599,5.055657e-05,0.106332,0.207019
0.1,0.1000578,5.055559e-05,0.106642,0.207003
0.1,0.1000568,5.05565e-05,0.106601,0.207023
0.1,0.1000578,5.055659e-05,0.106537,0.207027
0.1,0.1000586,5.05567e-05,0.106231,0.207068
0.1,0.1000577,5.055566e-05,0.106549,0.207076
0.1,0.1000578,5.0557e-05,0.106609,0.207036
0.1,0.1000576,5.055642e-05,0.106424,0.207052
0.1,0.1000581,5.055688e-05,0.10644,0.206967
0.1,0.1000588,5.055696e-05,0.106682,0.2071
0.15000000000000002,0.1500935,7.09149e-05,0.157153,0.306749
0.15000000000000002,0.1500931,7.091465e-05,0.157294,0.30674
0.15000000000000002,0.1500914,7.091427e-05,0.157354,0.306793
0.15000000000000002,0.1500909,7.091495e-05,0.157205,0.306817
0.15000000000000002,0.150092,7.091438e-05,0.157624,0.30662
0.15000000000000002,0.1500913,7.091537e-05,0.157068,0.306728
0.15000000000000002,0.1500929,7.091415e-05,0.15762,0.306696
0.15000000000000002,0.150092,7.091477e-05,0.157229,0.306676
0.15000000000000002,0.1500942,7.091572e-05,0.157008,0.306801
0.15000000000000002,0.1500947,7.091639e-05,0.157705,0.306777
0.2,0.2001317,9.127558e-05,0.206951,0.406675
0.2,0.2001328,9.127638e-05,0.207015,0.406631
0.2,0.2001329,9.127571e-05,0.206959,0.406594
0.2,0.2001327,9.127629e-05,0.206846,0.40655
0.2,0.2001333,9.127523e-05,0.207297,0.40653
0.2,0.2001331,9.12759e-05,0.207064,0.406546
0.2,0.2001336,9.127528e-05,0.206882,0.406643
0.2,0.2001318,9.127574e-05,0.207285,0.40659
0.2,0.2001335,9.127558e-05,0.207144,0.406542
0.2,0.2001325,9.127519e-05,0.207213,0.40653
0.25,0.2500153,0.0001115242,0.257821,0.506034
0.25,0.2500139,0.0001115246,0.257829,0.506001
0.25,0.2500151,0.0001115249,0.257877,0.506042
0.25,0.2500146,0.0001115246,0.2577,0.5058
0.25,0.2500132,0.0001115242,0.257462,0.505989
0.25,0.2500139,0.0001115248,0.257986,0.506098
0.25,0.2500136,0.0001115245,0.258026,0.505965
0.25,0.2500136,0.0001115253,0.258107,0.505816
0.25,0.2500137,0.000111524,0.257978,0.505941
0.25,0.2500141,0.0001115232,0.257756,0.505945
0.3,0.300009,0.000131866,0.307764,0.605565
0.3,0.300008,0.0001318661,0.307586,0.605521
0.3,0.3000077,0.0001318659,0.307256,0.605549
0.3,0.3000072,0.000131866,0.307534,0.605577
0.3,0.3000097,0.0001318657,0.307586,0.605577
0.3,0.3000078,0.0001318652,0.307296,0.605654
0.3,0.3000076,0.0001318648,0.307304,0.605537
0.3,0.3000084,0.0001318662,0.307292,0.605646
0.3,0.3000099,0.0001318659,0.307784,0.605517
0.3,0.3000097,0.0001318657,0.307566,0.605457
0.35,0.3499508,0.0001521872,0.358126,0.705258
0.35,0.3499516,0.0001521874,0.358089,0.705375
0.35,0.3499517,0.0001521862,0.357908,0.705266
0.35,0.3499521,0.0001521865,0.358222,0.705407
0.35,0.349952,0.000152186,0.358283,0.705294
0.35,0.3499513,0.0001521868,0.358259,0.705254
0.35,0.3499511,0.0001521859,0.358222,0.705375
0.35,0.3499517,0.0001521863,0.35817,0.705347
0.35,0.3499517,0.0001521863,0.35794,0.705294
0.35,0.3499516,0.000152186,0.358448,0.705407
0.39999999999999997,0.3999342,0.0001725235,0.407875,0.805165
0.39999999999999997,0.3999346,0.0001725233,0.408166,0.805225
0.39999999999999997,0.3999341,0.0001725242,0.408033,0.805205
0.39999999999999997,0.399936,0.0001725224,0.407972,0.805152
0.39999999999999997,0.3999352,0.0001725236,0.408121,0.805124
0.39999999999999997,0.3999329,0.0001725233,0.407988,0.805132
0.39999999999999997,0.3999322,0.0001725247,0.407815,0.805358
0.39999999999999997,0.3999331,0.0001725249,0.408129,0.805161
0.39999999999999997,0.3999332,0.0001725249,0.408093,0.805205
0.39999999999999997,0.3999348,0.0001725257,0.408262,0.805285
0.44999999999999996,0.4499774,0.0001928892,0.45833,0.905349
0.44999999999999996,0.4499787,0.0001928898,0.458423,0.905413
0.44999999999999996,0.4499787,0.0001928894,0.458479,0.905454
0.44999999999999996,0.4499787,0.000192889,0.458741,0.905417
0.44999999999999996,0.4499792,0.000192889,0.458383,0.905429
0.44999999999999996,0.4499786,0.0001928887,0.458673,0.905421
0.44999999999999996,0.4499793,0.0001928882,0.458669,0.90545
0.44999999999999996,0.4499789,0.0001928886,0.458689,0.905345
0.44999999999999996,0.4499814,0.0001928888,0.458628,0.905369
0.44999999999999996,0.4499793,0.0001928893,0.458866,0.905405
0.49999999999999994,0.5000182,0.0002132489,0.508745,1.005296
0.49999999999999994,0.5000173,0.0002132497,0.508563,1.005106
0.49999999999999994,0.500019,0.0002132492,0.508668,1.005138
0.49999999999999994,0.5000179,0.0002132491,0.508692,1.004985
0.49999999999999994,0.5000176,0.0002132495,0.508451,1.005155
0.49999999999999994,0.5000163,0.00021325,0.508515,1.00507
