V,V_in,I_in,V_i,V_2x,T
0.0,-5.006566e-05,9.862454e-06,0.007464,0.004661,23.620001
0.0,-4.93353e-05,9.862295e-06,0.007505,0.004592,23.620001
0.0,-4.979176e-05,9.86322e-06,0.007565,0.004749,23.629999
0.0,-4.997433e-05,9.862782e-06,0.008504,0.004709,23.629999
0.0,-5.05222e-05,9.862861e-06,0.007577,0.004584,23.629999
0.0,-5.024823e-05,9.862935e-06,0.007718,0.004757,23.629999
0.0,-5.061348e-05,9.863249e-06,0.007485,0.004604,23.620001
0.0,-5.106999e-05,9.862957e-06,0.007485,0.004766,23.639999
0.0,-5.024826e-05,9.863783e-06,0.007412,0.004625,23.639999
0.0,-5.143513e-05,9.862409e-06,0.007481,0.004689,23.629999
0.1,0.1000687,5.058682e-05,0.207821,0.106267,23.639999
0.1,0.10007,5.058708e-05,0.207056,0.106485,23.639999
0.1,0.1000692,5.058681e-05,0.207136,0.106464,23.639999
0.1,0.1000673,5.058643e-05,0.207072,0.106263,23.639999
0.1,0.1000678,5.058715e-05,0.206991,0.106392,23.639999
0.1,0.100068,5.058726e-05,0.207104,0.106464,23.639999
0.1,0.1000678,5.058791e-05,0.207152,0.106162,23.639999
0.1,0.1000687,5.058711e-05,0.20704,0.106162,23.639999
0.1,0.1000684,5.05875e-05,0.207148,0.106424,23.65
0.1,0.1000682,5.058826e-05,0.207048,0.106219,23.65
0.2,0.2001444,9.130883e-05,0.406667,0.207273,23.65
0.2,0.2001435,9.130768e-05,0.406607,0.207426,23.65
0.2,0.2001421,9.130763e-05,0.406599,0.206915,23.65
0.2,0.2001414,9.130649e-05,0.406703,0.20733,23.65
0.2,0.2001413,9.130747e-05,0.406635,0.206439,23.66
0.2,0.2001423,9.130761e-05,0.406651,0.20685,23.67
0.2,0.2001421,9.130697e-05,0.406691,0.206758,23.66
0.2,0.2001417,9.130633e-05,0.406695,0.206959,23.68
0.2,0.2001419,9.130683e-05,0.406683,0.20704,23.67
0.2,0.2001419,9.13064e-05,0.406687,0.206886,23.65
0.30000000000000004,0.3000188,0.0001319027,0.605722,0.307341,23.66
0.30000000000000004,0.3000187,0.0001319023,0.605763,0.307429,23.68
0.30000000000000004,0.300018,0.000131903,0.605787,0.307204,23.67
0.30000000000000004,0.3000175,0.0001319024,0.60573,0.307103,23.66
0.30000000000000004,0.3000172,0.0001319028,0.605751,0.307172,23.67
0.30000000000000004,0.300018,0.000131902,0.605682,0.307546,23.66
0.30000000000000004,0.3000178,0.000131902,0.605763,0.307474,23.65
0.30000000000000004,0.3000176,0.0001319016,0.605775,0.307466,23.65
0.30000000000000004,0.3000173,0.0001319014,0.605747,0.307558,23.65
0.30000000000000004,0.3000177,0.0001319016,0.605751,0.30757,23.65
0.4,0.399936,0.0001725552,0.80533,0.407888,23.65
0.4,0.3999346,0.0001725553,0.805362,0.407888,23.639999
0.4,0.3999344,0.0001725541,0.80531,0.40796,23.639999
0.4,0.3999347,0.0001725557,0.805362,0.407823,23.639999
0.4,0.3999348,0.0001725547,0.805394,0.407598,23.639999
0.4,0.3999369,0.0001725561,0.805249,0.407751,23.65
0.4,0.3999359,0.0001725556,0.805193,0.407875,23.639999
0.4,0.3999356,0.0001725553,0.805314,0.408214,23.639999
0.4,0.3999355,0.0001725557,0.805205,0.407726,23.639999
0.4,0.3999375,0.0001725547,0.805281,0.407948,23.639999
0.5,0.5000252,0.0002132783,1.005428,0.508777,23.639999
0.5,0.5000253,0.0002132777,1.00536,0.508652,23.65
0.5,0.5000232,0.0002132777,1.005372,0.508741,23.639999
0.5,0.5000235,0.0002132775,1.005368,0.508567,23.639999
0.5,0.5000243,0.0002132772,1.005505,0.508592,23.639999
0.5,0.5000243,0.0002132787,1.005441,0.508712,23.639999
0.5,0.5000249,0.000213277,1.005529,0.508531,23.639999
0.5,0.5000255,0.0002132775,1.005602,0.508507,23.639999
0.5,0.5000247,0.0002132772,1.005469,0.508612,23.65
0.5,0.5000237,0.0002132785,1.005497,0.50862,23.65
0.6,0.6000026,0.0002539578,1.204975,0.609134,23.65
0.6,0.6000053,0.0002539583,1.204995,0.609485,23.65
0.6,0.6000049,0.0002539578,1.204967,0.60901,23.65
0.6,0.6000051,0.0002539573,1.205028,0.609211,23.66
0.6,0.6000037,0.0002539578,1.204959,0.609163,23.65
0.6,0.6000041,0.000253957,1.205145,0.609283,23.65
0.6,0.6000025,0.0002539581,1.205028,0.609344,23.66
0.6,0.6000052,0.0002539583,1.205068,0.609122,23.65
0.6,0.600004,0.0002539582,1.204991,0.609106,23.65
