V,V_in,I_in,V_i,V_2x,T
0.1,0.1000802,5.042244e-05,0.208635,0.107198,28.09
0.1,0.1000803,5.042117e-05,0.208599,0.107282,28.15
0.1,0.1000785,5.042017e-05,0.208401,0.107234,28.16
0.1,0.1000791,5.04199e-05,0.208607,0.10727,28.18
0.1,0.1000782,5.041873e-05,0.208627,0.10721,28.190001
0.1,0.1000796,5.0419e-05,0.208651,0.107202,28.209999
0.1,0.1000796,5.041745e-05,0.208574,0.107149,28.23
0.1,0.10008,5.041715e-05,0.208482,0.1075,28.24
0.1,0.1000778,5.041652e-05,0.208631,0.10731,28.24
0.1,0.1000789,5.041562e-05,0.208631,0.107371,28.24
0.1,0.1000778,5.041537e-05,0.208651,0.107049,28.26
0.1,0.1000785,5.041488e-05,0.208659,0.107294,28.290001
0.1,0.1000768,5.041472e-05,0.208703,0.107226,28.299999
0.1,0.1000779,5.041402e-05,0.208659,0.10723,28.299999
0.1,0.1000778,5.041358e-05,0.208514,0.107415,28.32
0.1,0.1000787,5.041306e-05,0.208494,0.107125,28.32
0.1,0.1000782,5.041267e-05,0.208675,0.107339,28.309999
0.1,0.1000787,5.041144e-05,0.208502,0.107282,28.32
0.1,0.1000779,5.041125e-05,0.208603,0.107294,28.33
0.1,0.1000788,5.041028e-05,0.208522,0.107407,28.309999
0.1,0.1000776,5.040909e-05,0.208586,0.107331,28.290001
0.1,0.1000779,5.040915e-05,0.208586,0.107391,28.299999
0.1,0.1000772,5.04078e-05,0.208518,0.107274,28.309999
0.1,0.1000784,5.040715e-05,0.208562,0.107246,28.32
0.1,0.1000784,5.040677e-05,0.208566,0.107198,28.299999
0.1,0.1000781,5.040547e-05,0.208643,0.107459,28.32
0.1,0.1000768,5.040445e-05,0.20855,0.107254,28.32
0.1,0.100078,5.040449e-05,0.208478,0.107274,28.299999
0.1,0.1000779,5.040415e-05,0.208502,0.107415,28.32
0.1,0.1000783,5.040281e-05,0.208558,0.107306,28.309999
0.1,0.1000794,5.040227e-05,0.208627,0.107375,28.309999
0.1,0.1000784,5.04016e-05,0.208619,0.107339,28.299999
0.1,0.1000792,5.040173e-05,0.208546,0.107484,28.309999
0.1,0.1000779,5.040077e-05,0.208526,0.107222,28.309999
0.1,0.1000787,5.039987e-05,0.208562,0.107359,28.32
0.1,0.1000782,5.039966e-05,0.208546,0.107359,28.33
0.1,0.1000778,5.039772e-05,0.208546,0.107314,28.33
0.1,0.1000791,5.03968e-05,0.208345,0.107173,28.32
0.1,0.1000774,5.039653e-05,0.208631,0.107306,28.33
0.1,0.1000782,5.039602e-05,0.20859,0.107335,28.33
0.1,0.1000769,5.03949e-05,0.208647,0.107077,28.34
0.1,0.1000769,5.039489e-05,0.208574,0.107182,28.34
0.1,0.1000774,5.039413e-05,0.208574,0.107145,28.32
0.1,0.1000782,5.03937e-05,0.208639,0.10723,28.34
0.1,0.1000788,5.039301e-05,0.208494,0.107045,28.360001
0.1,0.1000774,5.039198e-05,0.208667,0.107161,28.360001
0.1,0.1000772,5.03917e-05,0.20851,0.107109,28.370001
0.1,0.1000769,5.039113e-05,0.208623,0.10702,28.379999
0.1,0.1000768,5.039133e-05,0.208586,0.107153,28.4
0.1,0.1000771,5.039109e-05,0.208526,0.107101,28.42
0.1,0.1000764,5.038958e-05,0.20859,0.107218,28.41
0.1,0.1000767,5.038884e-05,0.208494,0.107141,28.440001
0.1,0.1000778,5.038819e-05,0.208506,0.10723,28.450001
0.1,0.1000786,5.038767e-05,0.208631,0.107113,28.469999
0.1,0.1000779,5.038673e-05,0.208534,0.107028,28.49
0.1,0.1000774,5.038642e-05,0.20851,0.107238,28.51
0.1,0.1000784,5.038666e-05,0.208603,0.107294,28.51
0.1,0.1000779,5.038563e-05,0.208482,0.107254,28.52
0.1,0.1000782,5.038524e-05,0.208578,0.107057,28.549999
0.1,0.1000769,5.038459e-05,0.208498,0.10723,28.57
0.1,0.1000784,5.03842e-05,0.208558,0.10731,28.59
0.1,0.1000764,5.038422e-05,0.208522,0.107149,28.610001
0.1,0.1000781,5.038222e-05,0.20849,0.107177,28.639999
0.1,0.100077,5.038324e-05,0.208538,0.107234,28.67
0.1,0.100077,5.038314e-05,0.208466,0.107198,28.68
0.1,0.1000761,5.038197e-05,0.208554,0.107318,28.700001
0.1,0.1000766,5.038173e-05,0.20859,0.107274,28.709999
0.1,0.1000776,5.03815e-05,0.208574,0.107395,28.74
0.1,0.100078,5.038063e-05,0.208578,0.107206,28.76
0.1,0.1000779,5.038011e-05,0.20859,0.107331,28.780001
0.1,0.1000777,5.037943e-05,0.20859,0.107278,28.799999
0.1,0.1000779,5.037934e-05,0.208586,0.107125,28.799999
0.1,0.1000783,5.037758e-05,0.208574,0.107266,28.809999
0.1,0.1000777,5.037708e-05,0.208558,0.107282,28.82
0.1,0.1000775,5.037688e-05,0.208466,0.107282,28.83
0.1,0.1000776,5.03766e-05,0.208514,0.107234,28.85
0.1,0.1000793,5.037648e-05,0.208586,0.107278,28.870001
0.1,0.1000779,5.037649e-05,0.208651,0.107298,28.91
0.1,0.1000759,5.037489e-05,0.208687,0.107194,28.889999
0.1,0.1000777,5.037434e-05,0.208522,0.107294,28.91
0.1,0.1000769,5.037402e-05,0.20857,0.10725,28.93
0.1,0.1000777,5.037291e-05,0.208627,0.107238,28.93
0.1,0.1000776,5.037327e-05,0.20855,0.10731,28.940001
0.1,0.1000785,5.037238e-05,0.208578,0.107141,28.959999
0.1,0.1000771,5.037109e-05,0.208498,0.107157,28.98
0.1,0.1000782,5.036972e-05,0.208518,0.10719,28.98
0.1,0.1000779,5.036921e-05,0.208651,0.107262,29.0
0.1,0.1000784,5.03694e-05,0.208562,0.107286,29.0
0.1,0.1000786,5.036925e-05,0.208599,0.107206,29.02
0.1,0.100081,5.036885e-05,0.208586,0.107403,29.030001
0.1,0.1000795,5.036829e-05,0.208659,0.107331,29.040001
0.1,0.1000794,5.03685e-05,0.208643,0.107355,29.040001
0.1,0.1000781,5.036795e-05,0.20859,0.107294,29.049999
0.1,0.1000774,5.036747e-05,0.208566,0.107157,29.059999
0.1,0.1000799,5.036825e-05,0.208482,0.107443,29.059999
0.1,0.1000807,5.036884e-05,0.208566,0.107298,29.07
0.1,0.1000797,5.036688e-05,0.208522,0.107177,29.08
0.1,0.1000791,5.036681e-05,0.208566,0.107318,29.09
0.1,0.1000783,5.03657e-05,0.208474,0.107214,29.120001
0.1,0.1000789,5.03663e-05,0.208603,0.107347,29.129999
0.15000000000000002,0.1501147,7.072338e-05,0.308388,0.158514,29.139999
0.15000000000000002,0.1501154,7.072382e-05,0.308207,0.158688,29.15
0.15000000000000002,0.1501141,7.072373e-05,0.308203,0.158486,29.17
